"page_id","final_url","current_gate","current_manifest","current_public_status","current_indexing_authorization","current_sitemap_authorization","factual_blockers","content_blockers","d16_implementation_status","target_public_access","target_indexable","target_sitemap","target_robots","target_http","target_exception","responsible_upstream_artifact"
"MARKET-UK-001","/markets/united-kingdom/","GATE_9","pages/markets/06_handoff/MARKET-UK-001_CURRENT_GATE8_AUTHORIZATION_MANIFEST_V0.7.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/markets/06_handoff/MARKET-UK-001_CURRENT_GATE8_AUTHORIZATION_MANIFEST_V0.7.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"MARKET-IN-001","/markets/india/","GATE_9","pages/markets/india/MARKET-IN-001_CURRENT_GATE_BASELINE_MANIFEST_V0.18.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/markets/india/MARKET-IN-001_CURRENT_GATE_BASELINE_MANIFEST_V0.18.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"MARKET-BR-EN","/markets/brazil/","GATE_9","pages/markets/brazil/MARKET-BR-EN_CURRENT_GATE_BASELINE_MANIFEST_V0.16.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/markets/brazil/MARKET-BR-EN_CURRENT_GATE_BASELINE_MANIFEST_V0.16.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"MARKET-BR-PT","/pt-br/markets/brazil/","GATE_9","pages/markets/brazil/MARKET-BR-PT_CURRENT_GATE_BASELINE_MANIFEST_V0.15.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","PUBLICATION_PLAN_TASK_2_FINAL_CONTRACT_RECONFIRMATION_REQUIRED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","LOCALIZATION_AND_HREFLANG_MUST_CLOSE_BEFORE_RELEASE","pages/markets/brazil/MARKET-BR-PT_CURRENT_GATE_BASELINE_MANIFEST_V0.15.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md|docs/page-briefs/MARKET-BR-PT_BRAZIL_PORTUGUESE_BRIEF_V0.2.md"
"PRODUCT-000","/products/","GATE_9","pages/products/05_review/PRODUCT-000_GATE6_CURRENT_BASELINE_MANIFEST_V0.1.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/products/05_review/PRODUCT-000_GATE6_CURRENT_BASELINE_MANIFEST_V0.1.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"PRODUCT-PROC-CL","/products/chloride-process-titanium-dioxide/","GATE_9","pages/products/chloride-process/PRODUCT-PROC-CL_CURRENT_GATE_BASELINE_MANIFEST_V0.29.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/products/chloride-process/PRODUCT-PROC-CL_CURRENT_GATE_BASELINE_MANIFEST_V0.29.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"PRODUCT-PROC-SU","/products/sulfate-process-titanium-dioxide/","GATE_9","pages/products/sulfate-process/PRODUCT-PROC-SU_CURRENT_GATE_BASELINE_MANIFEST_V0.13.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/products/sulfate-process/PRODUCT-PROC-SU_CURRENT_GATE_BASELINE_MANIFEST_V0.13.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"GRADE-M350","/products/m-350/","GATE_9","pages/products/detail-template/05_review/GRADE-M350_GATE9_READ_ONLY_QA_CLOSURE_V0.1.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/products/detail-template/05_review/GRADE-M350_GATE9_READ_ONLY_QA_CLOSURE_V0.1.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"GRADE-M510","/products/m-510/","GATE_9","pages/products/detail-template/05_review/GRADE-M510_CURRENT_GATE9_BASELINE_MANIFEST_V0.8.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/products/detail-template/05_review/GRADE-M510_CURRENT_GATE9_BASELINE_MANIFEST_V0.8.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"GRADE-M896","/products/m-896/","GATE_9","pages/products/detail-template/05_review/GRADE-M896_CURRENT_GATE9_BASELINE_MANIFEST_V0.4.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/products/detail-template/05_review/GRADE-M896_CURRENT_GATE9_BASELINE_MANIFEST_V0.4.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"GRADE-M996","/products/m-996/","GATE_9","pages/products/detail-template/05_review/GRADE-M996_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","TARGET_GUARD_REQUIRES_FINAL_EVIDENCE_CHECK:UNVERIFIED_DIFFERENTIATING_CLAIMS_MUST_NOT_RENDER","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","UNVERIFIED_DIFFERENTIATING_CLAIMS_MUST_NOT_RENDER","pages/products/detail-template/05_review/GRADE-M996_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md|docs/architecture/TIO2_MY_LAUNCH_FACT_CLOSURE_V1.0.md"
"GRADE-M2196","/products/m-2196/","GATE_9","pages/products/detail-template/05_review/GRADE-M2196_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","TARGET_GUARD_REQUIRES_FINAL_EVIDENCE_CHECK:UNVERIFIED_DIFFERENTIATING_CLAIMS_MUST_NOT_RENDER","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","UNVERIFIED_DIFFERENTIATING_CLAIMS_MUST_NOT_RENDER","pages/products/detail-template/05_review/GRADE-M2196_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md|docs/architecture/TIO2_MY_LAUNCH_FACT_CLOSURE_V1.0.md"
"GRADE-M895","/products/m-895/","GATE_9","pages/products/detail-template/05_review/GRADE-M895_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/products/detail-template/05_review/GRADE-M895_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"GRADE-M200","/products/m-200/","GATE_9","pages/products/detail-template/05_review/GRADE-M200_CURRENT_GATE9_BASELINE_MANIFEST_V0.4.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/products/detail-template/05_review/GRADE-M200_CURRENT_GATE9_BASELINE_MANIFEST_V0.4.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"GRADE-M108","/products/m-108/","GATE_9","pages/products/detail-template/05_review/GRADE-M108_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/products/detail-template/05_review/GRADE-M108_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"GRADE-M210","/products/m-210/","GATE_9","pages/products/detail-template/05_review/GRADE-M210_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/products/detail-template/05_review/GRADE-M210_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"GRADE-M340","/products/m-340/","GATE_9","pages/products/detail-template/05_review/GRADE-M340_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/products/detail-template/05_review/GRADE-M340_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"GRADE-M886","/products/m-886/","GATE_9","pages/products/detail-template/05_review/GRADE-M886_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/products/detail-template/05_review/GRADE-M886_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"GRADE-M52","/products/m-52/","GATE_9","pages/products/detail-template/05_review/GRADE-M52_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/products/detail-template/05_review/GRADE-M52_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
"GRADE-M2377","/products/m-2377/","GATE_9","pages/products/detail-template/05_review/GRADE-M2377_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","TARGET_GUARD_REQUIRES_FINAL_EVIDENCE_CHECK:UNVERIFIED_PROCESS_OR_DIFFERENTIATING_CLAIMS_MUST_NOT_RENDER","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","UNVERIFIED_PROCESS_OR_DIFFERENTIATING_CLAIMS_MUST_NOT_RENDER","pages/products/detail-template/05_review/GRADE-M2377_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md|docs/architecture/TIO2_MY_LAUNCH_FACT_CLOSURE_V1.0.md"
"GRADE-CR901","/products/cr-901/","GATE_9","pages/products/detail-template/05_review/GRADE-CR901_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md","LOCAL_PRERELEASE_ONLY_NOT_PUBLIC_LIVE","NO","NO","NONE_RECORDED","NONE_RECORDED","LOCAL_PRERELEASE_IMPLEMENTATION_OBSERVED_NOT_PRODUCTION","YES","YES","YES","index, follow","200","NONE","pages/products/detail-template/05_review/GRADE-CR901_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GSC_LAUNCH_DECISION_AND_SPEC_V1.0.md|docs/architecture/TIO2_MY_FULL_PUBLIC_SEO_GA4_GATE6_DELIVERY_V1.0.md|docs/architecture/GATE8_GATE9_EVIDENCE_HANDOFF_CONTRACT_V1.0.md"
