"page_id","url","primary_keyword","title","meta_description","h1","canonical","robots","schema_type","breadcrumb_parent","primary_internal_link_sources","last_reviewed_date","target_sitemap","exception_directive","delivery_status","source_manifest"
"PRODUCT-000","/products/","titanium dioxide pigment","Titanium Dioxide Pigment Grades | TiO2 Malaysia","Explore 14 titanium dioxide pigment grades by application, production process and portfolio group, then continue to grade pages for technical evaluation.","Titanium Dioxide Pigment Grades for Industrial Applications","https://tio2malaysia.com/products/","index, follow","CollectionPage|ItemList|BreadcrumbList","HOME-001","HOME-001|GLOBAL_CHROME_PRIMARY_NAV","2026-09-13","YES","NONE","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/05_review/PRODUCT-000_GATE6_CURRENT_BASELINE_MANIFEST_V0.1.md"
"PRODUCT-PROC-CL","/products/chloride-process-titanium-dioxide/","chloride process titanium dioxide","Chloride Process Titanium Dioxide | TiO2 Malaysia","Explore eight Malaysia-origin chloride-process titanium dioxide grades, understand what the process label means, and review product information or request a quote.","Chloride Process Titanium Dioxide","https://tio2malaysia.com/products/chloride-process-titanium-dioxide/","index, follow","CollectionPage|ItemList|BreadcrumbList","PRODUCT-000","PRODUCT-000","2026-09-13","YES","NONE","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/chloride-process/PRODUCT-PROC-CL_CURRENT_GATE_BASELINE_MANIFEST_V0.29.md"
"PRODUCT-PROC-SU","/products/sulfate-process-titanium-dioxide/","sulfate process titanium dioxide","Sulfate Process Titanium Dioxide Grades | TiO2 Malaysia","Explore five Malaysia-origin sulfate process titanium dioxide Grades by application, then review product details, request documents or request a quote.","Sulfate Process Titanium Dioxide","https://tio2malaysia.com/products/sulfate-process-titanium-dioxide/","index, follow","CollectionPage|ItemList|BreadcrumbList","PRODUCT-000","PRODUCT-000","2026-09-13","YES","NONE","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/sulfate-process/PRODUCT-PROC-SU_CURRENT_GATE_BASELINE_MANIFEST_V0.13.md"
"GRADE-M350","/products/m-350/","M-350 titanium dioxide","M-350 Rutile Titanium Dioxide Pigment | TiO2 Malaysia","Evaluate M-350 rutile titanium dioxide pigment for coatings, printing inks and plastics. Review TDS-based technical data and request a sample or quote.","M-350 Rutile Titanium Dioxide Pigment","https://tio2malaysia.com/products/m-350/","index, follow","Product|BreadcrumbList","PRODUCT-000","PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES","2026-09-13","YES","NONE","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/detail-template/05_review/GRADE-M350_GATE9_READ_ONLY_QA_CLOSURE_V0.1.md"
"GRADE-M510","/products/m-510/","M-510 titanium dioxide","M-510 Titanium Dioxide for Coatings | TiO2 Malaysia","Evaluate M-510 titanium dioxide for architectural and automotive coatings, then review secondary application paths or request documents, a sample or RFQ.","M-510 Titanium Dioxide for Coating Evaluation","https://tio2malaysia.com/products/m-510/","index, follow","Product|BreadcrumbList","PRODUCT-000","PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES","2026-09-13","YES","NONE","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/detail-template/05_review/GRADE-M510_CURRENT_GATE9_BASELINE_MANIFEST_V0.8.md"
"GRADE-M896","/products/m-896/","M-896 titanium dioxide","M-896 Titanium Dioxide for Industrial Coatings | TiO2 Malaysia","Evaluate M-896 titanium dioxide for industrial and weather-resistant coatings. Review typical data, request documents or a sample, and submit an RFQ.","M-896 Titanium Dioxide for Industrial Coating Evaluation","https://tio2malaysia.com/products/m-896/","index, follow","Product|BreadcrumbList","PRODUCT-000","PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES","2026-09-13","YES","NONE","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/detail-template/05_review/GRADE-M896_CURRENT_GATE9_BASELINE_MANIFEST_V0.4.md"
"GRADE-M996","/products/m-996/","M-996 titanium dioxide","M-996 Titanium Dioxide for Coatings | TiO2 Malaysia","Evaluate M-996 titanium dioxide for industrial, powder, and exterior or interior architectural coatings. Review typical data, request a sample or RFQ.","M-996 Titanium Dioxide for Industrial, Powder and Architectural Coatings","https://tio2malaysia.com/products/m-996/","index, follow","Product|BreadcrumbList","PRODUCT-000","PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES","2026-09-13","YES","UNVERIFIED_DIFFERENTIATING_CLAIMS_MUST_NOT_RENDER","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/detail-template/05_review/GRADE-M996_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md"
"GRADE-M2196","/products/m-2196/","M-2196 titanium dioxide","M-2196 Titanium Dioxide for Coatings | TiO2 Malaysia","Evaluate M-2196 titanium dioxide for solvent-based furniture and industrial paint. Review typical data, request a sample or RFQ.","M-2196 Titanium Dioxide for Solvent-Based Furniture and Industrial Paint","https://tio2malaysia.com/products/m-2196/","index, follow","Product|BreadcrumbList","PRODUCT-000","PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES","2026-09-13","YES","UNVERIFIED_DIFFERENTIATING_CLAIMS_MUST_NOT_RENDER","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/detail-template/05_review/GRADE-M2196_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md"
"GRADE-M895","/products/m-895/","M-895 titanium dioxide","M-895 Titanium Dioxide for Coatings | TiO2 Malaysia","Evaluate M-895 titanium dioxide for architectural and industrial coatings. Review typical data, request documents or a sample, and submit an RFQ.","M-895 Titanium Dioxide for Architectural and Industrial Coatings","https://tio2malaysia.com/products/m-895/","index, follow","Product|BreadcrumbList","PRODUCT-000","PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES","2026-09-13","YES","NONE","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/detail-template/05_review/GRADE-M895_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md"
"GRADE-M200","/products/m-200/","M-200 titanium dioxide","M-200 Titanium Dioxide for Exterior Plastics | TiO2 Malaysia","Evaluate M-200 titanium dioxide for uPVC profiles, exterior plastics, PVC calendered films and durable plastic masterbatch. Review data, samples and RFQ.","M-200 Titanium Dioxide for Exterior Plastics and Masterbatch Evaluation","https://tio2malaysia.com/products/m-200/","index, follow","Product|BreadcrumbList","PRODUCT-000","PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES","2026-09-13","YES","NONE","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/detail-template/05_review/GRADE-M200_CURRENT_GATE9_BASELINE_MANIFEST_V0.4.md"
"GRADE-M108","/products/m-108/","M-108 titanium dioxide","M-108 Titanium Dioxide for Plastics | TiO2 Malaysia","Evaluate M-108 titanium dioxide for masterbatch, compounds, polyolefin and PVC film, and high-thermal-stability plastics. Review data, sample or RFQ.","M-108 Titanium Dioxide for Plastics and Masterbatch Evaluation","https://tio2malaysia.com/products/m-108/","index, follow","Product|BreadcrumbList","PRODUCT-000","PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES","2026-09-13","YES","NONE","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/detail-template/05_review/GRADE-M108_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md"
"GRADE-M210","/products/m-210/","M-210 titanium dioxide","M-210 Titanium Dioxide for Masterbatch | TiO2 Malaysia","Evaluate M-210 titanium dioxide for polyolefin masterbatch, PE, PP, ABS, PS and copolymer applications. Review typical data, request a sample or RFQ.","M-210 Titanium Dioxide for Masterbatch and Plastics Evaluation","https://tio2malaysia.com/products/m-210/","index, follow","Product|BreadcrumbList","PRODUCT-000","PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES","2026-09-13","YES","NONE","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/detail-template/05_review/GRADE-M210_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md"
"GRADE-M340","/products/m-340/","M-340 titanium dioxide","M-340 Titanium Dioxide for Plastics | TiO2 Malaysia","Evaluate M-340 titanium dioxide for masterbatch, films, injection plastics and other documented uses. Review technical data, request a sample or RFQ.","M-340 Titanium Dioxide for Plastics and Masterbatch Evaluation","https://tio2malaysia.com/products/m-340/","index, follow","Product|BreadcrumbList","PRODUCT-000","PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES","2026-09-13","YES","NONE","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/detail-template/05_review/GRADE-M340_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md"
"GRADE-M886","/products/m-886/","M-886 titanium dioxide","M-886 Titanium Dioxide for Plastics | TiO2 Malaysia","Evaluate M-886 titanium dioxide for polyolefin masterbatch, cast-film processing and engineering plastics. Review typical data, request a sample or RFQ.","M-886 Titanium Dioxide for Plastics and Masterbatch Evaluation","https://tio2malaysia.com/products/m-886/","index, follow","Product|BreadcrumbList","PRODUCT-000","PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES","2026-09-13","YES","NONE","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/detail-template/05_review/GRADE-M886_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md"
"GRADE-M52","/products/m-52/","M-52 titanium dioxide","M-52 Titanium Dioxide for Printing Inks | TiO2 Malaysia","Evaluate M-52 titanium dioxide for printing inks, can coatings and high-gloss interior architectural coatings. Review typical data, sample or RFQ.","M-52 Titanium Dioxide for Printing Inks and Coatings Evaluation","https://tio2malaysia.com/products/m-52/","index, follow","Product|BreadcrumbList","PRODUCT-000","PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES","2026-09-13","YES","NONE","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/detail-template/05_review/GRADE-M52_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md"
"GRADE-M2377","/products/m-2377/","M-2377 titanium dioxide","M-2377 Titanium Dioxide | TiO2 Malaysia","Evaluate M-2377 titanium dioxide for coatings, plastics, masterbatch, printing inks and paper. Review typical data, request a sample or RFQ.","M-2377 Titanium Dioxide for Coatings, Plastics, Masterbatch, Inks and Paper","https://tio2malaysia.com/products/m-2377/","index, follow","Product|BreadcrumbList","PRODUCT-000","PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES","2026-09-13","YES","UNVERIFIED_PROCESS_OR_DIFFERENTIATING_CLAIMS_MUST_NOT_RENDER","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/detail-template/05_review/GRADE-M2377_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md"
"GRADE-CR901","/products/cr-901/","CR-901 titanium dioxide","CR-901 Titanium Dioxide Specialty Grade | TiO2 Malaysia","Evaluate CR-901 titanium dioxide for electronic ceramics, optical glass, battery materials and special metallurgy. Review typical data, request a sample or RFQ.","CR-901 High-Purity Rutile Titanium Dioxide for Specialty Materials","https://tio2malaysia.com/products/cr-901/","index, follow","Product|BreadcrumbList","PRODUCT-000","PRODUCT-000|APPLICATION_PAGES|PROCESS_PAGES","2026-09-13","YES","NONE","CURRENT_APPROVED_OR_PRERELEASE_VALUE_DELIVERED","pages/products/detail-template/05_review/GRADE-CR901_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md"
"APP-000","/applications/","NO_PRIMARY_KEYWORD","Applications | TiO2 Malaysia","Explore titanium dioxide application paths for coatings, plastics, masterbatch, printing inks, paper and specialty materials.","Explore Titanium Dioxide by Application","https://tio2malaysia.com/applications/","index, follow","CollectionPage|ItemList|BreadcrumbList","HOME-001","HOME-001|GLOBAL_CHROME_PRIMARY_NAV","2026-09-13","YES","FINAL_PAGE_CONTRACT_MUST_CLOSE_BEFORE_RELEASE","CURRENT_VALUE_DELIVERED_PENDING_PLAN_TASK_2_FINAL_RECONFIRMATION","pages/applications/APP-000_CURRENT_GATE_BASELINE_MANIFEST_V1.12.md"
"APP-COAT","/applications/titanium-dioxide-for-coatings/","titanium dioxide for coatings","Titanium Dioxide for Coatings | Grade Evaluation","Compare TiO2 grades in your coating system by formulation, dispersion, film, exposure and test basis. Review Grades, documents, samples and RFQ inputs.","Titanium Dioxide for Coatings","https://tio2malaysia.com/applications/titanium-dioxide-for-coatings/","index, follow","WebPage|BreadcrumbList","APP-000","APP-000|HOME-001","2026-09-13","YES","FINAL_URL_AND_PRODUCT_MAPPING_MUST_CLOSE_BEFORE_RELEASE","CURRENT_VALUE_DELIVERED_PENDING_PLAN_TASK_2_FINAL_RECONFIRMATION","pages/applications/coatings/APP-COAT_CURRENT_GATE_BASELINE_MANIFEST_V0.12.md"
"APP-PLAS","/applications/titanium-dioxide-for-plastics/","titanium dioxide for plastics","Titanium Dioxide for Plastics | Grade Evaluation","Compare TiO2 candidates in a defined plastic resin, process, specimen and exposure. Review Product Grades and prepare a document, sample or quotation request.","Titanium Dioxide for Plastics","https://tio2malaysia.com/applications/titanium-dioxide-for-plastics/","index, follow","WebPage|BreadcrumbList","APP-000","APP-000|HOME-001","2026-09-13","YES","FINAL_URL_AND_PRODUCT_MAPPING_MUST_CLOSE_BEFORE_RELEASE","CURRENT_VALUE_DELIVERED_PENDING_PLAN_TASK_2_FINAL_RECONFIRMATION","pages/applications/plastics/APP-PLAS_CURRENT_GATE_BASELINE_MANIFEST_V0.12.md"
"APP-MB","/applications/titanium-dioxide-for-masterbatch/","titanium dioxide for masterbatch","Titanium Dioxide for Masterbatch Evaluation | TiO2 Malaysia","Evaluate titanium dioxide for masterbatch by separating concentrate processing from final-article evidence. Review Product Grades and prepare your request.","Titanium Dioxide for Masterbatch","https://tio2malaysia.com/applications/titanium-dioxide-for-masterbatch/","index, follow","WebPage|BreadcrumbList","APP-000","APP-000|HOME-001","2026-09-13","YES","FINAL_URL_AND_PRODUCT_MAPPING_MUST_CLOSE_BEFORE_RELEASE","CURRENT_VALUE_DELIVERED_PENDING_PLAN_TASK_2_FINAL_RECONFIRMATION","pages/applications/masterbatch/APP-MB_CURRENT_GATE_BASELINE_MANIFEST_V0.13.md"
"APP-INK","/applications/titanium-dioxide-for-printing-inks/","titanium dioxide for printing inks","Titanium Dioxide for Printing Inks | TiO2 Malaysia","Compare titanium dioxide candidates in a defined white-ink and print system. Review Product Grades and prepare a document, sample or quotation request.","Titanium Dioxide for Printing Inks","https://tio2malaysia.com/applications/titanium-dioxide-for-printing-inks/","index, follow","WebPage|BreadcrumbList","APP-000","APP-000|HOME-001","2026-09-13","YES","FINAL_URL_AND_PRODUCT_MAPPING_MUST_CLOSE_BEFORE_RELEASE","CURRENT_VALUE_DELIVERED_PENDING_PLAN_TASK_2_FINAL_RECONFIRMATION","pages/applications/printing-inks/APP-INK_CURRENT_GATE_BASELINE_MANIFEST_V0.9.md"
"APP-PAPER","/applications/titanium-dioxide-for-paper/","titanium dioxide for paper","Titanium Dioxide for Paper Evaluation | TiO2 Malaysia","Evaluate titanium dioxide for paper in a defined system. Compare method-matched results, review Product Grades, and prepare document, sample or RFQ details.","Titanium Dioxide for Paper","https://tio2malaysia.com/applications/titanium-dioxide-for-paper/","index, follow","WebPage|BreadcrumbList","APP-000","APP-000|HOME-001","2026-09-13","YES","FINAL_URL_AND_PRODUCT_MAPPING_MUST_CLOSE_BEFORE_RELEASE","CURRENT_VALUE_DELIVERED_PENDING_PLAN_TASK_2_FINAL_RECONFIRMATION","pages/applications/paper/APP-PAPER_CURRENT_GATE_BASELINE_MANIFEST_V0.11.md"
"DOC-000","/documents/","NO_PRIMARY_KEYWORD","Documents for Product Qualification | TiO2 Malaysia","Request technical, safety, quality, COA, origin and supplier-qualification documentation for a selected titanium dioxide grade.","Documents for Product & Supplier Qualification","https://tio2malaysia.com/documents/","index, follow","CollectionPage|ItemList|BreadcrumbList","HOME-001","HOME-001|GLOBAL_CHROME_PRIMARY_NAV","2026-09-13","YES","FINAL_PAGE_CONTRACT_MUST_CLOSE_BEFORE_RELEASE","CURRENT_VALUE_DELIVERED_PENDING_PLAN_TASK_2_FINAL_RECONFIRMATION","pages/documents/06_handoff/DOC-000_CURRENT_GATE7_BASELINE_MANIFEST_V0.2.md"
"DOC-REACH","/documents/reach/","titanium dioxide reach registration","Titanium Dioxide REACH Registration: What to Verify | TiO2 Malaysia","Understand which EU REACH information titanium dioxide buyers should verify across substance identity, legal-entity scope, supply-chain role, source and review date.","Titanium Dioxide REACH Registration: What Procurement Teams Should Verify","https://tio2malaysia.com/documents/reach/","index, follow","WebPage|BreadcrumbList","DOC-000","DOC-000|RES-000","2026-09-13","YES","UNVERIFIED_REGULATORY_CLAIMS_MUST_NOT_RENDER","CURRENT_VALUE_DELIVERED_PENDING_PLAN_TASK_2_FINAL_RECONFIRMATION","pages/documents/reach/06_handoff/DOC-REACH_CURRENT_GATE9_BASELINE_MANIFEST_V0.17.md"
"DOC-TDS","/documents/tds-sds-coa/","titanium dioxide tds","Titanium Dioxide TDS, SDS & COA: What to Request | TiO2 Malaysia","Understand the difference between titanium dioxide TDS, SDS and COA, add the relevant product or batch context, and request the documents needed for review.","Titanium Dioxide TDS, SDS & COA: What to Request","https://tio2malaysia.com/documents/tds-sds-coa/","index, follow","WebPage|BreadcrumbList","DOC-000","DOC-000|RES-000","2026-09-13","YES","UNVERIFIED_AVAILABILITY_CLAIMS_MUST_NOT_RENDER","CURRENT_VALUE_DELIVERED_PENDING_PLAN_TASK_2_FINAL_RECONFIRMATION","pages/documents/tds-sds-coa/05_review/DOC-TDS_CURRENT_GATE9_BASELINE_MANIFEST_V0.3.md"
"DOC-COO","/documents/certificate-of-origin/","titanium dioxide country of origin certificate","Certificate of Origin for Titanium Dioxide | TiO2 Malaysia","Understand when a titanium dioxide country of origin certificate or other proof may be relevant and what details to provide with a document request.","Certificate of Origin for Titanium Dioxide: What Buyers Should Verify","https://tio2malaysia.com/documents/certificate-of-origin/","index, follow","WebPage|BreadcrumbList","DOC-000","DOC-000|RES-000","2026-09-13","YES","UNVERIFIED_SHIPMENT_OR_CERTIFICATE_CLAIMS_MUST_NOT_RENDER","CURRENT_VALUE_DELIVERED_PENDING_PLAN_TASK_2_FINAL_RECONFIRMATION","pages/documents/certificate-of-origin/04_planning/DOC-COO_CURRENT_GATE_BASELINE_MANIFEST_V0.17.md"
"CONV-DOC","/request-documents/","NO_PRIMARY_KEYWORD","Request Documents | TiO2 Malaysia","Submit a controlled request for titanium dioxide product, safety, quality, COA, origin or supplier-qualification documentation for human review.","Request Documents","https://tio2malaysia.com/request-documents/","index, follow","WebPage|BreadcrumbList","HOME-001","DOC-000|GLOBAL_CHROME_FOOTER","2026-09-13","YES","CONTROLLED_REQUEST_WORKFLOW_MUST_MATCH_APPROVED_CAPABILITIES","CURRENT_VALUE_DELIVERED_PENDING_PLAN_TASK_2_FINAL_RECONFIRMATION","pages/conversion/05_review/CONV-DOC_CURRENT_GATE9_BASELINE_MANIFEST_V0.4.md"
