claim_id,exact_claim_or_rule,claim_type,source_id,source_url_or_path,source_date,applicable_scope,evidence_status,public_behavior,user_decision_status,notes
PROC-CL-011,"M-896 is classified as Chloride.",PRODUCT_RELATION,PROC-V03-MATRIX,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv,2026-08-30,PRODUCT-PROC-CL Grade list and GRADE-M896 link,VERIFIED_APPROVED_RELATIONSHIP,RENDER,USER_APPROVED_PRODUCT_V03,"Neutral classification only; no performance claim inferred"
PROC-CL-012,"M-895 is classified as Chloride.",PRODUCT_RELATION,PROC-V03-MATRIX,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv,2026-08-30,PRODUCT-PROC-CL Grade list and GRADE-M895 link,VERIFIED_APPROVED_RELATIONSHIP,RENDER,USER_APPROVED_PRODUCT_V03,"Neutral classification only; no performance claim inferred"
PROC-CL-013,"M-200 is classified as Chloride.",PRODUCT_RELATION,PROC-V03-MATRIX,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv,2026-08-30,PRODUCT-PROC-CL Grade list and GRADE-M200 link,VERIFIED_APPROVED_RELATIONSHIP,RENDER,USER_APPROVED_PRODUCT_V03,"Neutral classification only; no performance claim inferred"
PROC-CL-014,"M-210 is classified as Chloride.",PRODUCT_RELATION,PROC-V03-MATRIX,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv,2026-08-30,PRODUCT-PROC-CL Grade list and GRADE-M210 link,VERIFIED_APPROVED_RELATIONSHIP,RENDER,USER_APPROVED_PRODUCT_V03,"Neutral classification only; no performance claim inferred"
PROC-CL-015,"M-340 is classified as Chloride.",PRODUCT_RELATION,PROC-V03-MATRIX,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv,2026-08-30,PRODUCT-PROC-CL Grade list and GRADE-M340 link,VERIFIED_APPROVED_RELATIONSHIP,RENDER,USER_APPROVED_PRODUCT_V03,"Neutral classification only; no performance claim inferred"
PROC-CL-016,"M-886 is classified as Chloride.",PRODUCT_RELATION,PROC-V03-MATRIX,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv,2026-08-30,PRODUCT-PROC-CL Grade list and GRADE-M886 link,VERIFIED_APPROVED_RELATIONSHIP,RENDER,USER_APPROVED_PRODUCT_V03,"Neutral classification only; no performance claim inferred"
PROC-CL-017,"M-2377 is classified as Sulfate and is not a Chloride Grade.",PRODUCT_RELATION,"PROC-V03-MATRIX;PROC-V03-AUDIT","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv;pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md",2026-08-30,Chloride Grade aggregation,VERIFIED_APPROVED_RELATIONSHIP,DO_NOT_RENDER,USER_APPROVED_PRODUCT_V03,"Do not render M-2377 as Chloride; this supersedes the old unresolved-Hold rationale"
PROC-CL-018,"CR-901 is classified as Vapor-phase oxidation and is not a Chloride or Sulfate aggregation Grade.",PRODUCT_RELATION,"PROC-V03-MATRIX;PROC-V03-AUDIT","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv;pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md",2026-08-30,Chloride Grade aggregation,VERIFIED_APPROVED_RELATIONSHIP,DO_NOT_RENDER,USER_APPROVED_PRODUCT_V03,"Do not render CR-901 as Chloride; do not force binary process classification"
PROC-CL-019,"M-996 and M-2196 direct comparison ranking superiority equivalence replacement and comparison-based selection rationale remain frozen.",PRODUCT_COMPARISON_BOUNDARY,PROC-V03-AUDIT,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md,2026-08-30,Any cross-page process or Grade comparison,VERIFIED_APPROVED_RESTRICTION,DO_NOT_RENDER,USER_APPROVED_PRODUCT_V03,"Both are Sulfate and outside this page; restriction carried to prevent leakage"
PROC-CL-020,"A NO_PUBLIC_MAPPING Application row means no approved positive public relationship; it is not a statement that the Grade is unsuitable or not applicable.",PRODUCT_RELATION_BOUNDARY,PROC-V03-AUDIT,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md,2026-08-30,Any Grade/Application wording on this page,VERIFIED_APPROVED_RELATIONSHIP_RULE,DO_NOT_RENDER,USER_APPROVED_PRODUCT_V03,"Internal content rule only; never expose NO_PUBLIC_MAPPING or rewrite absence as negative technical advice"
PROC-CL-021,"Chloride process is universally superior to Sulfate in quality cost environmental impact whiteness opacity durability or dispersion.",UNSUPPORTED_COMPARISON,"PROC-CL-RAW-SEARCH-EXPANDED;PROC-CL-KW-IMPLEMENTATION","pages/products/chloride-process/01_research/evidence/PRODUCT-PROC-CL_RAW_WEB_SEARCH_EXPANDED_2026-09-06.md;research/keyword/11_page_keyword_master.csv",2026-09-06,Visible copy SEO GEO Schema and media,EXPLICIT_PROJECT_PROHIBITION,DO_NOT_RENDER,NONE,"Comparison intent belongs to RES-PROC and process label alone does not prove Grade performance"
PROC-CL-022,"This page does not propose a statement that IKHLAS owns or operates a chloride-process plant or uses an external source's exact feedstock/process configuration.",CONTENT_SCOPE_RULE,PROC-CL-RAW-FETCH-REPRESENTATIVE,pages/products/chloride-process/01_research/evidence/PRODUCT-PROC-CL_RAW_WEB_FETCH_REPRESENTATIVE_2026-09-06.md,2026-09-06,Current Gate 1 page direction,NOT_PROPOSED_OUT_OF_SCOPE,DO_NOT_RENDER,NONE,"External sources are used only for general process context; no company-fact decision is requested"
PROC-CL-023,"Each listed Chloride Grade has a specific performance application or technical value beyond its neutral process classification.",GRADE_TECHNICAL,PROC-V03-MATRIX,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv,2026-08-30,Grade cards summaries ALT SEO GEO and Schema,GATE2_EXACT_GRADE_SOURCE_CONSUMPTION_REQUIRED,DO_NOT_RENDER,NONE,"Current Process relationship proves classification only; Gate 2 must read each Grade's approved current source before adding details"
PROC-CL-024,"A Certificate of Origin is available upon request.",DOCUMENT_ORIGIN,EG-002,docs/architecture/EVIDENCE_GAP_USER_DECISION_REGISTER_V1.8.md,2026-09-06,PRODUCT-PROC-CL visible copy and equivalent machine-readable surfaces,NOT_PROPOSED_OUT_OF_SCOPE,DO_NOT_RENDER,NONE,"Not proposed because it is unnecessary for the current process-category task; this is not an open item or a request for user confirmation. If a later Gate proposes it, show the exact wording to the user before use on this page"
