keyword,normalized_keyword,language,market,country,primary_cluster,secondary_cluster,search_intent,buyer_stage,search_volume,keyword_difficulty,cpc,trend,serp_type,serp_notes,commercial_value,strategic_relevance,malaysia_origin_relevance,existing_architecture_target,page_recommendation,priority,source,data_date,verification_status,notes
malaysia titanium dioxide exporter,malaysia titanium dioxide exporter,EN,GLOBAL,MALAYSIA,ORIGIN,ORIGIN-01 Malaysia-origin supply,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Manufacturer/supplier/directory mix,Local SERP raw shows the current Malaysia-origin supplier site plus manufacturer/category competitors.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SERP-GLOBAL-MY-TIO2-SUPPLIER-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
export titanium dioxide from malaysia,export titanium dioxide from malaysia,EN,GLOBAL,MALAYSIA,ORIGIN,ORIGIN-01 Malaysia-origin supply,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Manufacturer/supplier/directory mix,Local SERP raw shows the current Malaysia-origin supplier site plus manufacturer/category competitors.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SERP-GLOBAL-MY-TIO2-SUPPLIER-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
malaysia titanium dioxide country of origin,malaysia titanium dioxide country of origin,EN,GLOBAL,MALAYSIA,ORIGIN,ORIGIN-01 Malaysia-origin supply,M,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Manufacturer/supplier/directory mix,Local SERP raw shows the current Malaysia-origin supplier site plus manufacturer/category competitors.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SERP-GLOBAL-MY-TIO2-SUPPLIER-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=3.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=58. Unavailable demand/feasibility contributes 0 rather than an inferred value."
malaysia coo titanium dioxide,malaysia coo titanium dioxide,EN,GLOBAL,MALAYSIA,ORIGIN,ORIGIN-01 Malaysia-origin supply,M,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Manufacturer/supplier/directory mix,Local SERP raw shows the current Malaysia-origin supplier site plus manufacturer/category competitors.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SERP-GLOBAL-MY-TIO2-SUPPLIER-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=3.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=58. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide traceability malaysia,titanium dioxide traceability malaysia,EN,GLOBAL,MALAYSIA,ORIGIN,ORIGIN-01 Malaysia-origin supply,M,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Manufacturer/supplier/directory mix,Local SERP raw shows the current Malaysia-origin supplier site plus manufacturer/category competitors.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SERP-GLOBAL-MY-TIO2-SUPPLIER-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=3.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=58. Unavailable demand/feasibility contributes 0 rather than an inferred value."
non china titanium dioxide,non china titanium dioxide,EN,GLOBAL,MULTI,ORIGIN,ORIGIN-02 Alternative origin,I,Supplier Search,Unavailable,34,Unavailable,Unavailable,Mixed supplier/informational,Semrush local raw verifies low-to-moderate KD for measured variants; volumes are Unavailable.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,MERGE_INTO_CLUSTER,P3,SEMRUSH-UK-ORIGIN-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=3/5, weighted=52. Unavailable demand/feasibility contributes 0 rather than an inferred value."
non chinese titanium dioxide supplier,non chinese titanium dioxide supplier,EN,GLOBAL,MULTI,ORIGIN,ORIGIN-02 Alternative origin,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Mixed supplier/informational,Semrush local raw verifies low-to-moderate KD for measured variants; volumes are Unavailable.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,MERGE_INTO_CLUSTER,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SEMRUSH-UK-ORIGIN-20260829-001,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide alternative origin,titanium dioxide alternative origin,EN,GLOBAL,MULTI,ORIGIN,ORIGIN-02 Alternative origin,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Mixed supplier/informational,Semrush local raw verifies low-to-moderate KD for measured variants; volumes are Unavailable.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,MERGE_INTO_CLUSTER,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SEMRUSH-UK-ORIGIN-20260829-001,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
alternative tio2 supplier,alternative tio2 supplier,EN,GLOBAL,MULTI,ORIGIN,ORIGIN-02 Alternative origin,C,Supplier Search,Unavailable,21,Unavailable,Unavailable,Mixed supplier/informational,Semrush local raw verifies low-to-moderate KD for measured variants; volumes are Unavailable.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,MERGE_INTO_CLUSTER,P1,SEMRUSH-UK-ORIGIN-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=4.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=4/5, weighted=72. Unavailable demand/feasibility contributes 0 rather than an inferred value."
alternative titanium dioxide supplier,alternative titanium dioxide supplier,EN,GLOBAL,MULTI,ORIGIN,ORIGIN-02 Alternative origin,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Mixed supplier/informational,Semrush local raw verifies low-to-moderate KD for measured variants; volumes are Unavailable.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,MERGE_INTO_CLUSTER,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SEMRUSH-UK-ORIGIN-20260829-001,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide supplier outside china,titanium dioxide supplier outside china,EN,GLOBAL,MULTI,ORIGIN,ORIGIN-02 Alternative origin,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Mixed supplier/informational,Semrush local raw verifies low-to-moderate KD for measured variants; volumes are Unavailable.,5,5,3,MALAYSIA ORIGIN > Malaysia-Origin Titanium Dioxide,MERGE_INTO_CLUSTER,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SEMRUSH-UK-ORIGIN-20260829-001,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide supplier europe,titanium dioxide supplier europe,EN,EU,EU,MARKET,MARKET-EU-01 Europe commercial,C,Supplier Search,Unavailable,10,Unavailable,Unavailable,Supplier/directory/product mix,Europe supplier SERP is led by directories and supplier/product pages; Germany database used only as a documented EU proxy.,5,5,2,MARKETS > European Union,EXISTING_PAGE,P0,SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=82. Unavailable demand/feasibility contributes 0 rather than an inferred value."
tio2 supplier europe,tio2 supplier europe,EN,EU,EU,MARKET,MARKET-EU-01 Europe commercial,C,Supplier Search,Unavailable,12,Unavailable,Unavailable,Supplier/directory/product mix,Europe supplier SERP is led by directories and supplier/product pages; Germany database used only as a documented EU proxy.,5,5,2,MARKETS > European Union,EXISTING_PAGE,P0,SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=82. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide manufacturer europe,titanium dioxide manufacturer europe,EN,EU,EU,MARKET,MARKET-EU-01 Europe commercial,C,Supplier Search,Unavailable,11,Unavailable,Unavailable,Supplier/directory/product mix,Europe supplier SERP is led by directories and supplier/product pages; Germany database used only as a documented EU proxy.,5,5,2,MARKETS > European Union,EXISTING_PAGE,P0,SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=82. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide importer europe,titanium dioxide importer europe,EN,EU,EU,MARKET,MARKET-EU-01 Europe commercial,C,Supplier Search,Unavailable,11,Unavailable,Unavailable,Supplier/directory/product mix,Europe supplier SERP is led by directories and supplier/product pages; Germany database used only as a documented EU proxy.,5,5,2,MARKETS > European Union,EXISTING_PAGE,P0,SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=82. Unavailable demand/feasibility contributes 0 rather than an inferred value."
malaysia titanium dioxide europe,malaysia titanium dioxide europe,EN,EU,EU,MARKET,MARKET-EU-01 Europe commercial,I,Supplier Search,Unavailable,31,Unavailable,Unavailable,Supplier/directory/product mix,Europe supplier SERP is led by directories and supplier/product pages; Germany database used only as a documented EU proxy.,5,5,2,MARKETS > European Union,EXISTING_PAGE,P2,SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=3/5, weighted=60. Unavailable demand/feasibility contributes 0 rather than an inferred value."
non china titanium dioxide europe,non china titanium dioxide europe,EN,EU,EU,MARKET,MARKET-EU-01 Europe commercial,I,Supplier Search,Unavailable,20,Unavailable,Unavailable,Supplier/directory/product mix,Europe supplier SERP is led by directories and supplier/product pages; Germany database used only as a documented EU proxy.,5,5,2,MARKETS > European Union,EXISTING_PAGE,P2,SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=4/5, weighted=62. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide anti dumping europe,titanium dioxide anti dumping europe,EN,EU,EU,MARKET,MARKET-EU-01 Europe commercial,I,Supplier Search,Unavailable,16,Unavailable,Unavailable,Supplier/directory/product mix,Europe supplier SERP is led by directories and supplier/product pages; Germany database used only as a documented EU proxy.,5,5,2,MARKETS > European Union,EXISTING_PAGE,P2,SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=4/5, weighted=62. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide tariff europe,titanium dioxide tariff europe,EN,EU,EU,MARKET,MARKET-EU-01 Europe commercial,I,Supplier Search,Unavailable,16,Unavailable,Unavailable,Supplier/directory/product mix,Europe supplier SERP is led by directories and supplier/product pages; Germany database used only as a documented EU proxy.,5,5,2,MARKETS > European Union,EXISTING_PAGE,P2,SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=4/5, weighted=62. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide import europe,titanium dioxide import europe,EN,EU,EU,MARKET,MARKET-EU-01 Europe commercial,I,Supplier Search,Unavailable,16,Unavailable,Unavailable,Supplier/directory/product mix,Europe supplier SERP is led by directories and supplier/product pages; Germany database used only as a documented EU proxy.,5,5,2,MARKETS > European Union,EXISTING_PAGE,P2,SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=4/5, weighted=62. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide for coatings europe,titanium dioxide for coatings europe,EN,EU,EU,MARKET,MARKET-EU-01 Europe commercial,M,Supplier Search,Unavailable,18,Unavailable,Unavailable,Supplier/directory/product mix,Europe supplier SERP is led by directories and supplier/product pages; Germany database used only as a documented EU proxy.,5,5,2,MARKETS > European Union,EXISTING_PAGE,P1,SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=3.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=4/5, weighted=74. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide supplier germany,titanium dioxide supplier germany,EN,EU,GERMANY,MARKET,MARKET-EU-02 Country supplier,C,Supplier Search,Unavailable,14,Unavailable,Unavailable,Unavailable,Semrush metrics refreshed and preserved in local raw batch; values marked Unavailable were displayed as unavailable.,5,4,1,MARKETS > Germany,EXISTING_PAGE,P1,SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,UNAVAILABLE,"Country-specific volume/CPC not available except measured Germany terms; page mapping follows the fixed architecture. Semrush raw intent: Commercial. Priority audit: CI=4.5/5, Strategic=4/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=77. Unavailable demand/feasibility contributes 0 rather than an inferred value."
tio2 supplier germany,tio2 supplier germany,EN,EU,GERMANY,MARKET,MARKET-EU-02 Country supplier,C,Supplier Search,Unavailable,10,Unavailable,Unavailable,Unavailable,Semrush metrics refreshed and preserved in local raw batch; values marked Unavailable were displayed as unavailable.,5,4,1,MARKETS > Germany,EXISTING_PAGE,P1,SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,UNAVAILABLE,"Country-specific volume/CPC not available except measured Germany terms; page mapping follows the fixed architecture. Semrush raw intent: Informational. Priority audit: CI=4.5/5, Strategic=4/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=77. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide supplier italy,titanium dioxide supplier italy,EN,EU,ITALY,MARKET,MARKET-EU-02 Country supplier,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,5,4,1,MARKETS > Italy,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,UNAVAILABLE,"Country-specific volume/CPC not available except measured Germany terms; page mapping follows the fixed architecture. Priority audit: CI=4.5/5, Strategic=4/5, Market=5/5, Demand=0/5, Feasibility=0/5, weighted=67. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide supplier spain,titanium dioxide supplier spain,EN,EU,SPAIN,MARKET,MARKET-EU-02 Country supplier,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,5,4,1,MARKETS > Spain,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,UNAVAILABLE,"Country-specific volume/CPC not available except measured Germany terms; page mapping follows the fixed architecture. Priority audit: CI=4.5/5, Strategic=4/5, Market=5/5, Demand=0/5, Feasibility=0/5, weighted=67. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide supplier poland,titanium dioxide supplier poland,EN,EU,POLAND,MARKET,MARKET-EU-02 Country supplier,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,5,4,1,MARKETS > Poland,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,UNAVAILABLE,"Country-specific volume/CPC not available except measured Germany terms; page mapping follows the fixed architecture. Priority audit: CI=4.5/5, Strategic=4/5, Market=5/5, Demand=0/5, Feasibility=0/5, weighted=67. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide supplier netherlands,titanium dioxide supplier netherlands,EN,EU,NETHERLANDS,MARKET,MARKET-EU-02 Country supplier,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,5,4,1,MARKETS > Netherlands,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,UNAVAILABLE,"Country-specific volume/CPC not available except measured Germany terms; page mapping follows the fixed architecture. Priority audit: CI=4.5/5, Strategic=4/5, Market=5/5, Demand=0/5, Feasibility=0/5, weighted=67. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide supplier belgium,titanium dioxide supplier belgium,EN,EU,BELGIUM,MARKET,MARKET-EU-02 Country supplier,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,5,4,1,MARKETS > Belgium,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,UNAVAILABLE,"Country-specific volume/CPC not available except measured Germany terms; page mapping follows the fixed architecture. Priority audit: CI=4.5/5, Strategic=4/5, Market=5/5, Demand=0/5, Feasibility=0/5, weighted=67. Unavailable demand/feasibility contributes 0 rather than an inferred value."
