cluster_id,primary_keyword,market,architecture_section,existing_page,mapping_status,new_page_candidate,reason,priority
PRODUCT-04,sulfate process titanium dioxide,GLOBAL,PRODUCTS,PRODUCTS > Sulfate Process TiO2,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Map sulphate spelling variant to same page. Combined volume is Unavailable because one or more member metrics are unavailable.,P3
PRODUCT-05,chloride vs sulfate titanium dioxide,GLOBAL,RESOURCES,RESOURCES > Buying Guides,NEW_PAGE_CANDIDATE,YES - PENDING_HUMAN_REVIEW,"Candidate support guide, not a new first-level section. Combined volume is Unavailable because one or more member metrics are unavailable.",P3
APP-01,titanium dioxide for coatings,GLOBAL,APPLICATIONS,APPLICATIONS > TiO2 for Coatings,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Paint is a synonym/sub-intent within coatings. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
APP-02,titanium dioxide for plastics,GLOBAL,APPLICATIONS,APPLICATIONS > TiO2 for Plastics,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Polymer variants support one plastics page unless future SERP evidence proves separation. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
APP-03,titanium dioxide for masterbatch,GLOBAL,APPLICATIONS,APPLICATIONS > TiO2 for Masterbatch,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Distinct from finished titanium dioxide masterbatch products. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
APP-04,titanium dioxide for printing inks,GLOBAL,APPLICATIONS,APPLICATIONS > TiO2 for Printing Inks,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Metrics unavailable. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
APP-05,titanium dioxide for paper,GLOBAL,APPLICATIONS,APPLICATIONS > TiO2 for Paper,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Metrics unavailable. Combined volume is Unavailable because one or more member metrics are unavailable.,P3
COMP-01,titanium dioxide reach registration,EU,COMPLIANCE & DOCUMENTS,COMPLIANCE & DOCUMENTS > REACH,MAPPED_TO_EXISTING_ARCHITECTURE,NO,ECHA capture partial; product-specific claims require official re-verification. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
COMP-02,titanium dioxide tds,GLOBAL,COMPLIANCE & DOCUMENTS,COMPLIANCE & DOCUMENTS > TDS / SDS / COA,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Strong RFQ-enablement intent even without volume. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
COMP-03,titanium dioxide country of origin certificate,GLOBAL,COMPLIANCE & DOCUMENTS,COMPLIANCE & DOCUMENTS > COO,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Coordinate with Malaysia Origin COO page to avoid duplication. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
TRADE-EU-01,eu titanium dioxide anti dumping duty,EU,RESOURCES,RESOURCES > Market & Trade Updates,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Official definitive measure verified. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
TRADE-UK-01,uk titanium dioxide anti dumping investigation,UK,RESOURCES,RESOURCES > Market & Trade Updates,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Investigation/registration verified; definitive duty not verified. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
TRADE-IN-01,india titanium dioxide anti dumping duty,INDIA,RESOURCES,RESOURCES > Market & Trade Updates,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Finance implementation VERIFY_REQUIRED. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
TRADE-BR-01,brazil titanium dioxide anti dumping duty,BRAZIL,RESOURCES,RESOURCES > Market & Trade Updates,MAPPED_TO_EXISTING_ARCHITECTURE,NO,Official measure and public-interest review verified. Combined volume is Unavailable because one or more member metrics are unavailable.,P2
BRAND-01,chemours titanium dioxide alternative,GLOBAL,RESOURCES,RESOURCES > Technical Guides,NEW_PAGE_CANDIDATE,YES - PENDING_HUMAN_REVIEW,No equivalence claim without technical validation. Combined volume is Unavailable because one or more member metrics are unavailable.,P3
OFFSCOPE-01,titanium dioxide nanoparticle synthesis,GLOBAL,N/A,N/A,DOCUMENTED_EXCLUSION,NO,OFF_SCOPE keywords are retained for exclusion control; their master rows use the nearest allowed Primary Cluster.,P4
BUYER-01,titanium dioxide quote supplier,GLOBAL,ABOUT / CONVERSION,ABOUT / CONVERSION,MAPPED_TO_EXISTING_ARCHITECTURE,NO,"High-purchase modifiers should strengthen RFQ/conversion elements across existing commercial pages, not create a standalone page.",P2
BRAND-02,ti-pure r-706 alternative equivalent,GLOBAL,RESOURCES,RESOURCES > Technical Guides,NEW_PAGE_CANDIDATE,YES - PENDING_HUMAN_REVIEW,Grade-level comparison intent is distinct but technically sensitive; human TDS/application/legal review required.,P2
