page_id,section,page_name,url,page_type,market,language,primary_keyword,secondary_keywords,search_intent,buyer_stage,source_cluster,page_role,excluded_keywords,cannibalization_boundary,priority,mapping_status,verification_status,notes
MARKET-UK-001,MARKETS,United Kingdom,/markets/united-kingdom/,Market procurement landing page,UK,EN,titanium dioxide supplier uk,tio2 supplier uk | titanium dioxide manufacturer uk | titanium dioxide import uk | malaysia titanium dioxide uk | non china titanium dioxide uk | titanium dioxide anti dumping uk | titanium dioxide tariff uk,C,Supplier Search,MARKET-UK-01,"Own UK supplier intent, local procurement context, applications, documentation, and RFQ routing.",generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P0,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.
MARKET-IN-001,MARKETS,India,/markets/india/,Market procurement landing page,INDIA,EN,titanium dioxide supplier india,tio2 supplier india | titanium dioxide manufacturer india | titanium dioxide import india | malaysia titanium dioxide india | non china titanium dioxide india | titanium dioxide price india | titanium dioxide anti dumping india | titanium dioxide for paint india | titanium dioxide for plastics india | titanium dioxide for masterbatch india,C,Supplier Search,MARKET-IN-01,"Own India supplier, price, paints, plastics, and masterbatch procurement intent.",generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P0,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.
MARKET-BR-EN,MARKETS,Brazil,/markets/brazil/,Market procurement landing page,BRAZIL,EN,titanium dioxide supplier brazil,titanium dioxide brazil | tio2 brazil | titanium dioxide importer brazil | malaysia titanium dioxide brazil | non china titanium dioxide brazil | titanium dioxide anti dumping brazil,C,Supplier Search,MARKET-BR-EN,Own English-language Brazil supplier and importer intent.,generic application terms | exact grade terms | detailed trade-update terms,Country page owns explicit country modifier; EU page owns Europe/EU modifier; Resources owns detailed trade-policy queries.,P1,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Market facts and trade statements require current official-source review before publication.
MARKET-BR-PT,MARKETS,Brazil Portuguese,/pt-br/markets/brazil/,Localized market procurement landing page,BRAZIL,PT-BR,fornecedor de dióxido de titânio,dióxido de titânio brasil | importador de dióxido de titânio | dióxido de titânio para tintas | dióxido de titânio para plásticos | fornecedor de tio2 brasil | fabricante de dióxido de titânio brasil | dióxido de titânio preço | antidumping dióxido de titânio china brasil,C,Supplier Search,MARKET-BR-PT,"Own Portuguese-language Brazil supplier, price, coatings, and plastics intent.",English Brazil supplier terms | general Portuguese informational content unrelated to B2B pigment sourcing,PT-BR page owns Portuguese queries; English Brazil page owns English queries; use hreflang after localization approval.,P1,PROVISIONAL_URL,LOCALIZATION_REVIEW_REQUIRED,Language strategy and URL remain subject to the later Brazil localization decision.
PRODUCT-000,PRODUCTS,Titanium Dioxide Products,/products/,Product hub,GLOBAL,EN,titanium dioxide pigment,tio2 pigment supplier | industrial titanium dioxide supplier | titanium white pigment | titanium dioxide grades | titanium dioxide grade selection | rutile titanium dioxide | rutile tio2 supplier | rutile titanium dioxide pigment,C,Supplier Search,PRODUCT-01 | PRODUCT-02,"Own generic pigment, rutile, grade-list, and grade-selection intent; route to process and grade pages.",exact grade terms | generic application terms | country supplier terms,Product hub owns generic product-family intent; process pages own process terms; grade pages own model terms; Applications owns use-case terms.,P0,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,No separate Rutile landing page; rutile terms merge into this hub.
PRODUCT-PROC-CL,PRODUCTS,Chloride Process Titanium Dioxide,/products/chloride-process-titanium-dioxide/,Process aggregation page,GLOBAL,EN,chloride process titanium dioxide,chloride tio2 | chloride process tio2 supplier,C,Technical Evaluation,PRODUCT-03,Explain chloride-process selection and aggregate verified chloride grades.,chloride vs sulfate comparison | exact grade terms | generic application terms,Process page owns chloride-process category intent; comparison guide owns versus intent; grade pages own model intent.,P1,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,M-2377 must not be included until its process is technically verified.
PRODUCT-PROC-SU,PRODUCTS,Sulfate Process Titanium Dioxide,/products/sulfate-process-titanium-dioxide/,Process aggregation page,GLOBAL,EN,sulfate process titanium dioxide,sulphate process titanium dioxide | sulfate tio2 supplier,C,Technical Evaluation,PRODUCT-04,"Explain sulfate-process selection, include sulphate spelling, and aggregate verified sulfate grades.",chloride vs sulfate comparison | exact grade terms | generic application terms,Process page owns sulfate/sulphate category intent; comparison guide owns versus intent; grade pages own model intent.,P1,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Use one page for sulfate and sulphate spelling variants.
GRADE-M350,PRODUCTS,M-350,/products/m-350/,Grade product page,GLOBAL,EN,M-350 titanium dioxide,M-350 rutile titanium dioxide | M-350 TiO2 | M-350 titanium dioxide for chloride | M-350 TDS | M-350 titanium dioxide sample | M-350 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,"General chloride grade for decorative, industrial, automotive coatings and inks.",generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-350 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,PROVISIONAL_KEYWORD_NO_METRICS,"Model keyword is architecture-derived; no model-specific search-volume, KD, or CPC row exists in the keyword master."
GRADE-M510,PRODUCTS,M-510,/products/m-510/,Grade product page,GLOBAL,EN,M-510 titanium dioxide,M-510 rutile titanium dioxide | M-510 TiO2 | M-510 titanium dioxide for coatings | M-510 TDS | M-510 titanium dioxide sample | M-510 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,Multi-application grade for architectural and automotive coating evaluation.,generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-510 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,PROVISIONAL_KEYWORD_NO_METRICS,"Model keyword is architecture-derived; no model-specific search-volume, KD, or CPC row exists in the keyword master."
GRADE-M896,PRODUCTS,M-896,/products/m-896/,Grade product page,GLOBAL,EN,M-896 titanium dioxide,M-896 rutile titanium dioxide | M-896 TiO2 | M-896 titanium dioxide for coatings | M-896 TDS | M-896 titanium dioxide sample | M-896 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,Industrial and weather-resistant coatings grade.,generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-896 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,PROVISIONAL_KEYWORD_NO_METRICS,"Model keyword is architecture-derived; no model-specific search-volume, KD, or CPC row exists in the keyword master."
GRADE-M996,PRODUCTS,M-996,/products/m-996/,Grade product page,GLOBAL,EN,M-996 titanium dioxide,M-996 rutile titanium dioxide | M-996 TiO2 | M-996 titanium dioxide for coatings | M-996 TDS | M-996 titanium dioxide sample | M-996 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,"Sulfate durable industrial, powder, and architectural coatings grade.",generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-996 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,TECHNICAL_VERIFICATION_REQUIRED,URL and model keyword are approved; conflicting or differentiating technical claims must remain unrendered until verified.
GRADE-M2196,PRODUCTS,M-2196,/products/m-2196/,Grade product page,GLOBAL,EN,M-2196 titanium dioxide,M-2196 rutile titanium dioxide | M-2196 TiO2 | M-2196 titanium dioxide for coatings | M-2196 TDS | M-2196 titanium dioxide sample | M-2196 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,Sulfate industrial and powder coatings grade; publish differentiation from M-996 only when verified.,generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-2196 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,TECHNICAL_VERIFICATION_REQUIRED,URL and model keyword are approved; conflicting or differentiating technical claims must remain unrendered until verified.
GRADE-M895,PRODUCTS,M-895,/products/m-895/,Grade product page,GLOBAL,EN,M-895 titanium dioxide,M-895 rutile titanium dioxide | M-895 TiO2 | M-895 titanium dioxide for coatings | M-895 TDS | M-895 titanium dioxide sample | M-895 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,Architectural and industrial coatings grade.,generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-895 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,PROVISIONAL_KEYWORD_NO_METRICS,"Model keyword is architecture-derived; no model-specific search-volume, KD, or CPC row exists in the keyword master."
GRADE-M200,PRODUCTS,M-200,/products/m-200/,Grade product page,GLOBAL,EN,M-200 titanium dioxide,M-200 rutile titanium dioxide | M-200 TiO2 | M-200 titanium dioxide for plastics | M-200 TDS | M-200 titanium dioxide sample | M-200 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,Durable exterior plastics grade for uPVC and PVC film applications.,generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-200 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,PROVISIONAL_KEYWORD_NO_METRICS,"Model keyword is architecture-derived; no model-specific search-volume, KD, or CPC row exists in the keyword master."
GRADE-M108,PRODUCTS,M-108,/products/m-108/,Grade product page,GLOBAL,EN,M-108 titanium dioxide,M-108 rutile titanium dioxide | M-108 TiO2 | M-108 titanium dioxide for masterbatch | M-108 TDS | M-108 titanium dioxide sample | M-108 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,High-thermal-stability masterbatch and plastics grade.,generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-108 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,PROVISIONAL_KEYWORD_NO_METRICS,"Model keyword is architecture-derived; no model-specific search-volume, KD, or CPC row exists in the keyword master."
GRADE-M210,PRODUCTS,M-210,/products/m-210/,Grade product page,GLOBAL,EN,M-210 titanium dioxide,M-210 rutile titanium dioxide | M-210 TiO2 | M-210 titanium dioxide for masterbatch | M-210 TDS | M-210 titanium dioxide sample | M-210 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,Polyolefin masterbatch and engineering plastics grade.,generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-210 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,PROVISIONAL_KEYWORD_NO_METRICS,"Model keyword is architecture-derived; no model-specific search-volume, KD, or CPC row exists in the keyword master."
GRADE-M340,PRODUCTS,M-340,/products/m-340/,Grade product page,GLOBAL,EN,M-340 titanium dioxide,M-340 rutile titanium dioxide | M-340 TiO2 | M-340 titanium dioxide for plastics | M-340 TDS | M-340 titanium dioxide sample | M-340 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,High-concentration masterbatch and film grade.,generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-340 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,PROVISIONAL_KEYWORD_NO_METRICS,"Model keyword is architecture-derived; no model-specific search-volume, KD, or CPC row exists in the keyword master."
GRADE-M886,PRODUCTS,M-886,/products/m-886/,Grade product page,GLOBAL,EN,M-886 titanium dioxide,M-886 rutile titanium dioxide | M-886 TiO2 | M-886 titanium dioxide for plastics | M-886 TDS | M-886 titanium dioxide sample | M-886 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,Bright-white plastics and high-temperature processing grade.,generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-886 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,PROVISIONAL_KEYWORD_NO_METRICS,"Model keyword is architecture-derived; no model-specific search-volume, KD, or CPC row exists in the keyword master."
GRADE-M52,PRODUCTS,M-52,/products/m-52/,Grade product page,GLOBAL,EN,M-52 titanium dioxide,M-52 rutile titanium dioxide | M-52 TiO2 | M-52 titanium dioxide for printing inks | M-52 TDS | M-52 titanium dioxide sample | M-52 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,Printing-ink grade with can-coating and high-gloss interior support use.,generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-52 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,PROVISIONAL_KEYWORD_NO_METRICS,"Model keyword is architecture-derived; no model-specific search-volume, KD, or CPC row exists in the keyword master."
GRADE-M2377,PRODUCTS,M-2377,/products/m-2377/,Grade product page,GLOBAL,EN,M-2377 titanium dioxide,M-2377 rutile titanium dioxide | M-2377 TiO2 | M-2377 titanium dioxide for multi-application | M-2377 TDS | M-2377 titanium dioxide sample | M-2377 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,Multi-application page; process and application claims remain restricted to verified TDS facts.,generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns M-2377 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,TECHNICAL_VERIFICATION_REQUIRED,URL and model keyword are approved; conflicting or differentiating technical claims must remain unrendered until verified.
GRADE-CR901,PRODUCTS,CR-901,/products/cr-901/,Grade product page,GLOBAL,EN,CR-901 titanium dioxide,CR-901 rutile titanium dioxide | CR-901 TiO2 | CR-901 titanium dioxide for high-purity rutile | CR-901 TDS | CR-901 titanium dioxide sample | CR-901 titanium dioxide supplier,C,Technical Evaluation / RFQ,PRD-V0.3-GRADE-MAPPING,"High-purity specialty grade for electronic ceramics, optical, battery, and specialist materials.",generic titanium dioxide for application | process-category primary term | country supplier primary term,This page owns CR-901 model intent only; Applications owns generic use-case intent; process pages own generic process intent.,P1,APPROVED_PRD_V0.3,PROVISIONAL_KEYWORD_NO_METRICS,"Model keyword is architecture-derived; no model-specific search-volume, KD, or CPC row exists in the keyword master."
APP-000,APPLICATIONS,Applications,/applications/,Navigation hub,GLOBAL,EN,NO_PRIMARY_KEYWORD,coatings | plastics | masterbatch | printing inks | paper,N,Navigation,APP-01 | APP-02 | APP-03 | APP-04 | APP-05,Route buyers from use case to application pages and suitable grades.,all generic application primary keywords,Hub does not own application primary terms; each child application page owns one use-case cluster.,P1,PLANNED_ARCHITECTURE,NO_DIRECT_KEYWORD_TARGET,URL and final hub content remain part of the later Applications design.
APP-COAT,APPLICATIONS,TiO2 for Coatings,/applications/titanium-dioxide-for-coatings/,Application landing page,GLOBAL,EN,titanium dioxide for coatings,titanium dioxide for paint | tio2 for coatings | tio2 pigment for paint | rutile titanium dioxide for coatings,C,Technical Evaluation / Supplier Search,APP-01,Own generic Coatings use-case intent and recommend verified grades.,exact grade primary terms | country supplier primary terms | process-category primary terms,Application page owns generic use-case intent; grade pages own exact model intent and link back for broader selection.,P1,PROVISIONAL_URL,QUALITATIVE_KEYWORD_EVIDENCE,Page purpose is approved; final URL and product mapping require the Applications design pass.
APP-PLAS,APPLICATIONS,TiO2 for Plastics,/applications/titanium-dioxide-for-plastics/,Application landing page,GLOBAL,EN,titanium dioxide for plastics,tio2 for plastics | titanium dioxide for pvc | titanium dioxide for pe | titanium dioxide for pp | titanium dioxide for abs | titanium dioxide for pet | titanium dioxide for plastic film | titanium dioxide for engineering plastics,C,Technical Evaluation / Supplier Search,APP-02,Own generic Plastics use-case intent and recommend verified grades.,exact grade primary terms | country supplier primary terms | process-category primary terms,Application page owns generic use-case intent; grade pages own exact model intent and link back for broader selection.,P1,PROVISIONAL_URL,QUALITATIVE_KEYWORD_EVIDENCE,Page purpose is approved; final URL and product mapping require the Applications design pass.
APP-MB,APPLICATIONS,TiO2 for Masterbatch,/applications/titanium-dioxide-for-masterbatch/,Application landing page,GLOBAL,EN,titanium dioxide for masterbatch,tio2 for masterbatch | masterbatch grade titanium dioxide | titanium dioxide masterbatch pigment,C,Technical Evaluation / Supplier Search,APP-03,Own generic Masterbatch use-case intent and recommend verified grades.,exact grade primary terms | country supplier primary terms | process-category primary terms,Application page owns generic use-case intent; grade pages own exact model intent and link back for broader selection.,P1,PROVISIONAL_URL,QUALITATIVE_KEYWORD_EVIDENCE,Page purpose is approved; final URL and product mapping require the Applications design pass.
APP-INK,APPLICATIONS,TiO2 for Printing Inks,/applications/titanium-dioxide-for-printing-inks/,Application landing page,GLOBAL,EN,titanium dioxide for printing inks,tio2 for inks,C,Technical Evaluation / Supplier Search,APP-04,Own generic Printing inks use-case intent and recommend verified grades.,exact grade primary terms | country supplier primary terms | process-category primary terms,Application page owns generic use-case intent; grade pages own exact model intent and link back for broader selection.,P2,PROVISIONAL_URL,QUALITATIVE_KEYWORD_EVIDENCE,Page purpose is approved; final URL and product mapping require the Applications design pass.
APP-PAPER,APPLICATIONS,TiO2 for Paper,/applications/titanium-dioxide-for-paper/,Application landing page,GLOBAL,EN,titanium dioxide for paper,tio2 for paper,C,Technical Evaluation / Supplier Search,APP-05,Own generic Paper use-case intent and recommend verified grades.,exact grade primary terms | country supplier primary terms | process-category primary terms,Application page owns generic use-case intent; grade pages own exact model intent and link back for broader selection.,P2,PROVISIONAL_URL,QUALITATIVE_KEYWORD_EVIDENCE,Page purpose is approved; final URL and product mapping require the Applications design pass.
DOC-000,DOCUMENTS,Documents & Compliance,/documents/,Navigation hub,GLOBAL,EN,NO_PRIMARY_KEYWORD,TDS | SDS | COA | COO | REACH,N,Navigation,COMP-01 | COMP-02 | COMP-03,Route buyers to document explanations and request workflow.,individual document primary terms,"Hub does not own individual document clusters; child pages own REACH, technical documents, and COO terms.",P1,PLANNED_ARCHITECTURE,NO_DIRECT_KEYWORD_TARGET,Detailed Documents architecture is scheduled for a later PRD version.
DOC-REACH,DOCUMENTS,Titanium Dioxide REACH,/documents/reach/,Document / compliance page,GLOBAL,EN,titanium dioxide reach registration,reach compliant titanium dioxide | titanium dioxide reach supplier,I,Technical Evaluation,COMP-01,Explain verified REACH-related coverage and route qualified document requests.,grade primary terms | country supplier primary terms,Document page owns document/compliance intent; product pages only mention grade-specific availability and link here or to the request form.,P1,PROVISIONAL_URL,FACT_EVIDENCE_REQUIRED,Regulatory and document claims require current evidence and approval before publication.
DOC-TDS,DOCUMENTS,"TDS, SDS & COA",/documents/tds-sds-coa/,Document / compliance page,GLOBAL,EN,titanium dioxide tds,titanium dioxide sds | titanium dioxide coa | titanium dioxide technical data sheet | titanium dioxide safety data sheet | request titanium dioxide documents,I,Technical Evaluation,COMP-02,"Explain TDS, SDS, COA availability, grade applicability, and controlled request workflow.",grade primary terms | country supplier primary terms,Document page owns document/compliance intent; product pages only mention grade-specific availability and link here or to the request form.,P1,PROVISIONAL_URL,FACT_EVIDENCE_REQUIRED,Regulatory and document claims require current evidence and approval before publication.
DOC-COO,DOCUMENTS,Certificate of Origin,/documents/certificate-of-origin/,Document / compliance page,GLOBAL,EN,titanium dioxide country of origin certificate,titanium dioxide coo | titanium dioxide origin traceability | titanium dioxide batch traceability,I,Technical Evaluation,COMP-03,Explain Malaysia COO and traceability evidence without making unverified shipment claims.,grade primary terms | country supplier primary terms,Document page owns document/compliance intent; product pages only mention grade-specific availability and link here or to the request form.,P1,PROVISIONAL_URL,FACT_EVIDENCE_REQUIRED,Regulatory and document claims require current evidence and approval before publication.
CONV-DOC,CONVERSION,Request Documents,/request-documents/,Utility conversion page,GLOBAL,EN,NO_PRIMARY_KEYWORD,request product documents | request safety documentation | request COA documentation | request origin documentation,T,Lead Capture,COMP-01 | COMP-02 | COMP-03,"Capture controlled document requests by company/contact context, product grade, document type, and optional application context; Country / Region is contact/company location only and never determines document version, applicability, or scope.",informational document primary terms | market-specific document request | destination-based document filtering | direct document download,"Utility page captures controlled requests only; informational document pages own search intent, Market pages own market content, and no country/region value controls document availability or applicability.",P0,PLANNED_CONVERSION,NO_DIRECT_KEYWORD_TARGET,"V1.1 Gate 1 directed revision: transaction page with 14-grade editable prefill, five document types, optional application context, and approximately 500-character Additional Requirements. Independent regulatory/compliance document capability is NOT_ESTABLISHED / DO_NOT_RENDER and is not a public request option, preset parameter, analytics value, or request claim. Other Documentation is a neutral catch-all only and does not imply regulatory/compliance capability. No Market / Destination request field or market-based document logic; Country / Region is contact/company location only. Submission confirms receipt for human review, not approval, availability, sending, download, or delivery."
RES-000,RESOURCES,Resources,/resources/,Navigation hub,GLOBAL,EN,NO_PRIMARY_KEYWORD,buying guides | technical guides | market trade updates,N,Navigation,PRODUCT-05 | BRAND-01 | BRAND-02 | TRADE-*,"Route buyers to technical, sourcing, alternative-origin, and trade-update content.",all child-guide primary terms,Hub does not own child-guide primary terms.,P2,PLANNED_ARCHITECTURE,NO_DIRECT_KEYWORD_TARGET,Detailed Resources taxonomy and publishing cadence remain for a later design pass.
RES-ORIGIN,RESOURCES,Non-China Titanium Dioxide Supply Guide,/resources/non-china-titanium-dioxide/,Buying guide,GLOBAL,EN,non china titanium dioxide,non chinese titanium dioxide supplier | titanium dioxide alternative origin | alternative tio2 supplier | alternative titanium dioxide supplier | titanium dioxide supplier outside china,I,Awareness / Technical Evaluation,ORIGIN-02,Explain legitimate supply diversification and Malaysia-origin alternatives without duty-circumvention language.,supplier-page primary terms | exact grade primary terms,"Resource owns research/comparison/update intent; Market, Product, and Application pages own commercial procurement intent.",P1,APPROVED_PRD_V0.3,QUALITATIVE_KEYWORD_EVIDENCE,Comparison and alternative claims require technical evidence and careful wording.
