claim_id,page_id,claim_text,claim_class,source_ids,source_date,capture_or_decision_date,scope,verification_status,render_status,article_mapping,owner,notes
"APP-INK-G1-C011","APP-INK","Dispersion rheology and storage response should be read together in the actual vehicle while remaining distinct observations.","TECHNICAL_EVALUATION_MODEL","ARTICLE-A04/A05-034-051;D22-S02","2025","2026-09-07","Method-bounded prepared-ink interpretation","APPROVED_ARTICLE_SCOPE","RENDER","KEEP/ADAPT","APP-INK","No dispersant choice dosage protocol or shelf life is supplied."
"APP-INK-G1-C012","APP-INK","A fineness-of-grind result is distinct from primary-particle diameter or a complete particle-size distribution.","METHOD_BOUNDARY","ARTICLE-A04/A05-040-050;D22-S02;D22-S06","2020 and 2025","2026-09-07","Defined liquid-product grind-gauge context","APPROVED_ARTICLE_SCOPE","RENDER","KEEP/ADAPT","APP-INK","A favorable grind result does not establish filtration or nozzle assurance."
"APP-INK-G1-C013","APP-INK","Supplier-reported values should be compared by specimen or material basis method units reference and the supplier's stated label.","DOCUMENT_INTERPRETATION","ARTICLE-A04/A05-052-063;D22-S01;D22-S04;D22-S05;D22-S06","2017-2023 sources; content approved 2026-09-07","2026-09-07","Shortlisting and clarification","APPROVED_ARTICLE_SCOPE","RENDER","KEEP/ADAPT","APP-INK","Clarification does not verify a current document or establish equivalence."
"APP-INK-G1-C014","APP-INK","A controlled incumbent-versus-candidate comparison should record what changed and what remained comparable before a pigment conclusion is drawn.","TECHNICAL_EVALUATION_MODEL","ARTICLE-A04/A05-064-084;D22-S01;D22-S02;D22-S03","2022-2025 sources; content approved 2026-09-07","2026-09-07","Buyer-defined application and process","APPROVED_ARTICLE_SCOPE","RENDER","KEEP/ADAPT","APP-INK","Matched laboratory results do not approve production or prove drop-in replacement."
"APP-INK-G1-C015","APP-INK","Cost per accepted printed output is meaningful only on a consistent acceptance basis using buyer-measured or documented inputs.","CONDITIONAL_ECONOMICS","ARTICLE-A04/A05-085-093","content approved 2026-09-07","2026-09-07","Buyer-defined unit period and cost boundary","APPROVED_ARTICLE_SCOPE","RENDER_WITH_QUALIFIER","KEEP/ADAPT","APP-INK","No saving ROI or candidate ranking is established."
"APP-INK-G1-C016","APP-INK","A useful document and sample discussion identifies the incumbent ink chemistry or vehicle printing process substrate deposited-film basis drying or cure end use targets methods rejection conditions open document questions and sample needs.","BUYER_INPUT","ARTICLE-A04/A05-094-104","content approved 2026-09-07","2026-09-07","Inputs for a bounded supplier discussion","APPROVED_ARTICLE_SCOPE","RENDER","ADAPT/ROUTE_TO_OWNER","APP-INK and Conversion owners","Final fields and prefill remain Gate 2 and later contracts."
"APP-INK-G1-C017","APP-INK","Requesting or receiving documents does not by itself establish application approval or compliance.","DOCUMENT_BOUNDARY","ARTICLE-A04/A05-100-102","content approved 2026-09-07","2026-09-07","Need-specific document request","APPROVED_ARTICLE_SCOPE","RENDER_WITH_QUALIFIER","ADAPT/ROUTE_TO_OWNER","Documents owner","Avoid repetitive disclaimers; explain the role where relevant."
"APP-INK-G1-C018","APP-INK","M-350 has a verified neutral Grade-to-Printing-Inks relationship.","PRODUCT_RELATION","PRODUCT-V03 REL-M350-INK","source observed 2026-08-30; V0.3 approved 2026-08-30","2026-09-07","Neutral Grade to Review mapping only","VERIFIED_FOR_PUBLIC_MAPPING","RENDER","N/A","PRODUCT-V03","No ranking recommendation equivalence or performance implication."
"APP-INK-G1-C019","APP-INK","M-510 has a verified neutral Grade-to-Printing-Inks relationship.","PRODUCT_RELATION","PRODUCT-V03 REL-M510-INK","source observed 2026-08-30; V0.3 approved 2026-08-30","2026-09-07","Neutral Grade to Review mapping only","VERIFIED_FOR_PUBLIC_MAPPING","RENDER","N/A","PRODUCT-V03","No ranking recommendation equivalence or performance implication."
"APP-INK-G1-C020","APP-INK","M-52 has a verified neutral Grade-to-Printing-Inks relationship.","PRODUCT_RELATION","PRODUCT-V03 REL-M52-INK","source observed 2026-08-30; V0.3 approved 2026-08-30","2026-09-07","Neutral Grade to Review mapping only","VERIFIED_FOR_PUBLIC_MAPPING","RENDER","N/A","PRODUCT-V03","Does not authorize importing low-abrasion gloss dispersion or other model claims into APP-INK."
"APP-INK-G1-C021","APP-INK","M-2377 has a verified neutral Grade-to-Printing-Inks relationship.","PRODUCT_RELATION","PRODUCT-V03 REL-M2377-INK","user technical confirmation 2026-08-30","2026-09-07","Neutral Grade-to-Printing-Inks Application mapping only","VERIFIED_FOR_PUBLIC_MAPPING","RENDER","N/A","PRODUCT-V03","Does not grant APP-INK permission to render Process classification. Specialty Materials remains hidden and Rubber remains evidence-only."
"APP-INK-G1-C022","APP-INK","The other ten Grade-to-Printing-Inks rows are NO_PUBLIC_MAPPING and do not support positive rendering.","PRODUCT_RELATION_BOUNDARY","PRODUCT-V03","V0.3 approved 2026-08-30","2026-09-07","M-896 M-996 M-2196 M-895 M-200 M-108 M-210 M-340 M-886 and CR-901","VERIFIED_NO_PUBLIC_MAPPING","DO_NOT_RENDER","N/A","PRODUCT-V03","Absence is not a statement of unsuitability or inapplicability."
"APP-INK-G1-C023","APP-INK","The four verified relationships do not establish Grade ranking recommendation relative fit printing-process suitability or equivalence.","PRODUCT_RELATION_BOUNDARY","PRODUCT-V03","V0.3 approved 2026-08-30","2026-09-07","All four public Printing Inks relations","VERIFIED_SCOPE_LIMIT","DO_NOT_RENDER","N/A","PRODUCT-V03","Use Grades to Review or equivalent neutral language."
"APP-INK-G1-C024","APP-INK","The 204 APP-INK private trace comments are not buyer-visible content and must be removed from public derivatives.","CONTENT_TRANSFORMATION_BOUNDARY","INK-ARTICLE-REVIEW-V01;exact article","approved 2026-09-07","2026-09-07","99 A04 markers 99 A05 markers and 6 source markers","APPROVED_CLOSED","DO_NOT_RENDER","OMIT_FROM_PAGE","APP-INK","Preserve traceability in project/D22 sources."
"APP-INK-G1-C025","APP-INK","Substantive offset screen inkjet and equipment-wear performance branches omitted from the approved article must not be silently restored during page composition.","CONTENT_SCOPE_LIMIT","INK-ARTICLE-REVIEW-V01","approved 2026-09-07","2026-09-07","Current approved article scope","APPROVED_CLOSED","DO_NOT_RENDER","OMIT/ROUTE_IF_LATER_APPROVED","APP-INK","A future branch needs its own evidence and applicable page/Gate decision."
"APP-INK-G1-C026","APP-INK","APP-INK owns generic pigmentary TiO2-for-Printing-Inks evaluation rather than finished-ink product sales or printer support.","OWNERSHIP_BOUNDARY","REGISTRY-V02;KWM-V11;APP-PLAYBOOK;INK-SI-V01","current through 2026-09-07","2026-09-07","Application-level B2B pigment intent","VERIFIED_PROJECT_AUTHORITY","RENDER","ADAPT","APP-INK","No new printing-process child page is authorized."
"APP-INK-G1-C027","APP-INK","Exact model specifications TDS values and Grade performance statements remain owned by the corresponding Grade pages and approved evidence.","OWNERSHIP_BOUNDARY","KWM-V11;PRODUCT-V03","current through 2026-09-07","2026-09-07","Model-primary intent and facts","VERIFIED_PROJECT_AUTHORITY","DO_NOT_RENDER","ROUTE_TO_OWNER","GRADE-*","APP-INK may show only the neutral relationship set."
"APP-INK-G1-C028","APP-INK","The proposed first in-page action is to move from technical evaluation to the four neutral Grades to Review.","ACTION_DIRECTION","INK-SI-V01;PRODUCT-V03;Gate1 Agent synthesis","observed and synthesized 2026-09-07","2026-09-07","Direction only; exact CTA copy location and route deferred","PENDING_PROJECT_CONTROL_AND_USER_CONFIRMATION","DO_NOT_RENDER","N/A","APP-INK Gate 1","Gate 1 proposal not approved final CTA."
"APP-INK-G1-C029","APP-INK","The proposed secondary action paths are Request Documents controlled sample discussion and Request a Quote through their owner pages.","ACTION_DIRECTION","APPROVED-ARTICLE-CLOSE;PROJECT-CONTEXT;Gate1 Agent synthesis","current through 2026-09-07","2026-09-07","Direction only; hierarchy labels prefill and route state deferred","PENDING_PROJECT_CONTROL_AND_USER_CONFIRMATION","DO_NOT_RENDER","ADAPT/ROUTE_TO_OWNER","Documents and Conversion owners","No availability response-time or approval promise."
"APP-INK-G1-C030","APP-INK","M-996 versus M-2196 differentiation ranking selection rationale equivalence and substitution remain frozen.","COMPARISON_HOLD","PRODUCT-V03","V0.3 approved 2026-08-30","2026-09-07","Any cross-Grade comparison","VERIFIED_ACTIVE_HOLD","DO_NOT_RENDER","N/A","PRODUCT-V03","Neither Grade is in the current public Printing Inks set."
"APP-INK-G1-C031","APP-INK","Malaysia-origin titanium dioxide is approved for site-wide public use in visible content and same-scope machine-readable fields.","USER_APPROVED_SITE_FACT","ORIGIN-AUTH-V10;EG-001","user approval 2026-09-04","2026-09-07","Same-scope Malaysia-origin wording only","APPROVED_CLOSED","RENDER_WITH_QUALIFIER","ADAPT","Shared brand/site authority","Optional supporting identity; not APP-INK's primary technical message."
"APP-INK-G1-C032","APP-INK","Final Canonical route indexability document availability sample availability and transaction conditions require their owner decisions or runtime verification.","LATER_STAGE_DEPENDENCY","REGISTRY-V02;PROJECT-CONTEXT;APP-PLAYBOOK","current through 2026-09-07","2026-09-07","Route SEO and conversion execution","CONDITIONAL_LATER_STAGE","DO_NOT_RENDER","N/A","Architecture and Conversion owners","Non-blocking for Gate 1 direction; do not expose internal state to buyers."
