source_id,module_order,module_name,module_category,primary_message,primary_cta,customer_question,evidence_present,evidence_type,rfq_role,notes
d03_azelis,1,"Innovation and markets split",services,"Laboratories, formulation and market coverage",open_service,"Can the distributor solve formulation and market-access needs?",YES,"service descriptions",ASSIST,"Strong two-path buyer framing."
d03_azelis,2,"Customer portal",resources,"Digital product and order access",register,"Can I self-serve product information?",YES,"portal description",NONE,"Not appropriate for current scope unless real capability exists."
d03_azelis,3,"Industry market grid",applications,"Industrial and life-science markets",open_market,"Does the supplier understand my sector?",YES,"market taxonomy",ASSIST,"Good sector discovery reference."
d03_azelis,4,"Scale metrics",trust,"Countries, labs and customers",none,"Is the network substantial?",YES,"specific metrics",ASSIST,"Requires dated and verifiable data."
d04_dksh_performance_materials,1,"Business-unit positioning",positioning,"Distribution and strategic solutions for specialty materials",none,"Is this supplier relevant to my procurement scope?",YES,"business-unit copy",ASSIST,"Clear category positioning."
d04_dksh_performance_materials,2,"Ingredient/application categories",applications,"Four visible market categories",open_category,"Which category matches my use?",YES,"category cards",ASSIST,"Good high-level route."
d04_dksh_performance_materials,3,"Scale and market coverage",markets,"Employees, customers, centers, specialists and map",explore,"Can the supplier operate where I buy?",YES,"metrics and geographic map",ASSIST,"Strong market-coverage proof pattern."
d04_dksh_performance_materials,4,"Services offered",services,"Distribution, regulatory, formulation, sourcing and digital",open_service,"What support exists beyond product supply?",YES,"service taxonomy",ASSIST,"Useful for trust subpages; avoid promising unavailable services."
d04_dksh_performance_materials,5,"Downloads and final contact",resources,"Factsheet/brochure plus contact CTA",contact_us,"How do I continue the buying conversation?",YES,"download links and CTA",SECONDARY,"Final CTA is generic contact rather than RFQ."
d05_univar_uk,0,"Access challenge",access_state,"Cloudflare verification",none,"Can the page be assessed?",YES,"captured challenge page",NONE,"No homepage content coded."
d06_safic_alcan,1,"Global specialty distribution hero",positioning,"Connect manufacturers and customers",discover,"What role does the distributor play?",PARTIAL,"brand statement",ASSIST,"Clear role, abstract evidence."
d06_safic_alcan,2,"Sustainability / innovation sourcing",services,"Portfolio and technical expertise",explore,"Can the distributor source and technically support products?",YES,"service statements and certification-style visual",ASSIST,"Relevant to technical buyers if capabilities are real."
d06_safic_alcan,3,"Scale and coverage",markets,"History, references, continents and countries",discover_history,"Is the supplier established and global?",YES,"specific metrics",ASSIST,"Proof-first trust pattern."
d06_safic_alcan,4,"Ingredient catalog / get support",conversion,"Product discovery and support",get_support,"Can I find or request an ingredient?",PARTIAL,"CTA paths",SECONDARY,"Closest distributor support conversion; not RFQ-specific."
r01_focus_chemical,1,"One-stop colour solution hero",positioning,"Broad color-material supplier",view_products,"Can this supplier cover my color-material needs?",PARTIAL,"generic copy",ASSIST,"Malaysia peer; message is broad."
r01_focus_chemical,2,"Service capability grid",quality_technical,"Lab, QC, on-site support, customization",none,"Can the supplier help specify and troubleshoot?",PARTIAL,"capability labels without detailed proof",ASSIST,"Relevant topics; evidence needs strengthening."
r01_focus_chemical,3,"Find us now",contact,"Technical support/contact",contact,"How do I reach the supplier?",YES,"address, phone, email",SECONDARY,"Straightforward but not a structured RFQ."
r02_purika,1,"Supplier/exporter hero",positioning,"Malaysia sourcing for industrial chemicals and goods",none,"Can this company source and export?",PARTIAL,"generic logistics image and claim",ASSIST,"Positioning is explicit but evidence-light."
r02_purika,2,"Company and contact footer",footer_trust,"Registration, address and email",contact,"Who is the legal supplier?",YES,"registration number and address",ASSIST,"Basic entity proof."
r03_orc_chem,1,"Malaysia chemical supplier hero",positioning,"Competitive supply in Malaysia",discover,"Is this a local supplier?",PARTIAL,"facility background and generic statement",ASSIST,"Clear local positioning."
r03_orc_chem,2,"Industries and solutions",applications,"Sectors plus chemical-solution categories",learn_more,"Does the supplier serve my industry?",YES,"industry and category lists",ASSIST,"Useful discovery structure."
r03_orc_chem,3,"Why choose us / clients",trust,"Price, service, network and logos",none,"Why should I trust this supplier?",PARTIAL,"generic benefits; client logos",ASSIST,"Claims/logo permissions need verification."
r04_luxchem,1,"Group and facilities hero",manufacturing,"Multiple operating companies and sites",open_company,"Is there a real regional organization?",YES,"facility photographs and company names",ASSIST,"Strong corporate reality signal."
r04_luxchem,2,"Corporate structure and milestones",trust,"Ownership and dated development",read_more,"How is the group structured and established?",YES,"organization chart and milestones",ASSIST,"Better on About/Company page."
r04_luxchem,3,"Commitment to quality",quality_technical,"Management-system certifications",none,"Are quality systems certified?",YES,"certificate marks and scope labels",ASSIST,"Useful teaser linking to a credential page."
r05_excel_chemical,1,"Real facility hero",manufacturing,"Industrial supplier shown at its facility",none,"Is this a real operating company?",YES,"facility aerial imagery",ASSIST,"Strong authentic visual signal."
r05_excel_chemical,2,"Supplier logos",trust,"Brands represented",none,"Which manufacturers does it represent?",PARTIAL,"partner logos",ASSIST,"Only use with authorization and current relationships."
r05_excel_chemical,3,"Entity/contact/certification footer",footer_trust,"Company registration, address, contacts and certification marks",contact,"Can I verify and reach the company?",YES,"legal and certification details",ASSIST,"Dense trust footer; certification validity still needs checking."
r06_apcc,1,"Lab hero and enquiry",positioning,"Malaysia materials/chemicals supplier",enquiry,"Can I contact this supplier?",PARTIAL,"lab stock imagery and CTA",SECONDARY,"Enquiry is visible but not RFQ-qualified."
r06_apcc,2,"Sector grid",applications,"Chemicals, electronics, construction, plastics and more",open_sector,"Does the supplier cover my sector?",YES,"sector cards",ASSIST,"Simple sector routing."
r06_apcc,3,"Warehouse and delivery proof",supply_chain,"Stockholding/distribution capability",contact,"Can the supplier deliver reliably?",YES,"warehouse imagery and delivery statement",ASSIST,"High relevance to supply-stability concern."
r06_apcc,4,"R&D and technical support",quality_technical,"Technical teams and support",none,"Will technical people help me?",PARTIAL,"service statements",ASSIST,"Needs people/process/case evidence."
s01_mytio2,1,"Malaysia-origin RFQ hero",conversion,"Malaysia-origin rutile TiO2 with documents, sample and quote actions",request_quote,"Can I source Malaysia-origin TiO2 now?",YES,"positioning and three CTAs",PRIMARY,"Self baseline; excluded from peer frequency."
s01_mytio2,2,"Entity / site / export / document fact strip",trust,"Operator, manufacturing site, Port Klang and document types",request_documents,"Can I verify origin, operator and export readiness?",YES,"specific names, locations and document list",ASSIST,"Strong factual density; needs source-controlled validation."
s01_mytio2,3,"Applications and lead grades",applications,"Application-to-grade entry",request_quote,"Which grade fits my production?",YES,"named applications and grades",ASSIST,"Useful decision path; new site must avoid duplicate-site overlap."
s01_mytio2,4,"Buyer request center",conversion,"Quotation, sample and named documents",request_documents,"What can I request?",YES,"request taxonomy",SECONDARY,"Matches gated-document policy."
