source_id,site_name,site_type,homepage_url,capture_date,desktop_snapshot,mobile_snapshot,deep_dive,status,notes
d01_brenntag,"Brenntag",distributors,https://www.brenntag.com/,2026-08-29,../01_original_homepages/distributors/d01_brenntag/desktop-full.png,,NO,SELECTOR_ONLY,"Global root redirected to a country/language selector; no substantive homepage modules were coded."
d02_imcd,"IMCD",distributors,https://www.imcdgroup.com/,2026-08-29,../01_original_homepages/distributors/d02_imcd/desktop-full.png,,NO,CAPTURED,"Cookie banner dismissed using Accept all."
d03_azelis,"Azelis",distributors,https://www.azelis.com/,2026-08-29,../01_original_homepages/distributors/d03_azelis/desktop-full.png,,NO,CAPTURED,"Homepage redirected to English locale."
d04_dksh_performance_materials,"DKSH Performance Materials",distributors,https://www.dksh.com/global-en/home/performance-materials?s=0,2026-08-29,../01_original_homepages/distributors/d04_dksh_performance_materials/desktop-full.png,../01_original_homepages/distributors/d04_dksh_performance_materials/mobile-full.png,YES,CAPTURED,"Business-unit homepage captured as a more relevant distributor benchmark than the corporate root."
d05_univar_uk,"Univar Solutions UK",distributors,https://www.univarsolutions.co.uk/,2026-08-29,../01_original_homepages/distributors/d05_univar_uk/desktop-full.png,,NO,BLOCKED_OR_CHALLENGE,"Cloudflare verification page captured; normal homepage content was not accessible in the capture environment."
d06_safic_alcan,"Safic-Alcan",distributors,https://corporate.safic-alcan.com/,2026-08-29,../01_original_homepages/distributors/d06_safic_alcan/desktop-full.png,,NO,CAPTURED,"Current corporate homepage captured."
r01_focus_chemical,"Focus Chemical Malaysia",malaysia_regional,https://www.focuspigment.com.my/,2026-08-29,../01_original_homepages/malaysia_regional/r01_focus_chemical/desktop-full.png,../01_original_homepages/malaysia_regional/r01_focus_chemical/mobile-full.png,YES,CAPTURED,"Current public homepage captured."
r02_purika,"Purika Industries",malaysia_regional,https://www.purika.my/,2026-08-29,../01_original_homepages/malaysia_regional/r02_purika/desktop-full.png,,NO,CAPTURED,"Current public homepage captured."
r03_orc_chem,"Orc Chem",malaysia_regional,https://orcchem.com.my/,2026-08-29,../01_original_homepages/malaysia_regional/r03_orc_chem/desktop-full.png,,NO,CAPTURED,"Current public homepage captured."
r04_luxchem,"Luxchem",malaysia_regional,https://www.luxchem.com.my/,2026-08-29,../01_original_homepages/malaysia_regional/r04_luxchem/desktop-full.png,,NO,CAPTURED,"Current public homepage captured."
r05_excel_chemical,"Excel Chemical Trading",malaysia_regional,https://excelchemical.com.my/,2026-08-29,../01_original_homepages/malaysia_regional/r05_excel_chemical/desktop-full.png,,NO,CAPTURED,"Current public homepage captured."
r06_apcc,"APCC Malaysia",malaysia_regional,https://www.apccm.com.my/,2026-08-29,../01_original_homepages/malaysia_regional/r06_apcc/desktop-full.png,,NO,CAPTURED,"Current public homepage captured."
s01_mytio2,"mytio2.com",self_baseline,https://www.mytio2.com/,2026-08-29,../01_original_homepages/self_baseline/s01_mytio2/desktop-full.png,../01_original_homepages/self_baseline/s01_mytio2/mobile-full.png,YES,CAPTURED,"Cookie banner dismissed using Reject. This source is excluded from peer module frequency counts."
