topic_id,parent_application,candidate_topic,seed_or_context,research_unit,initial_basis,overlap_risk,provisional_outcome,current_status
APPART-MB-003,APP-MB,TiO2 for Film Masterbatch,film masterbatch portfolio context,R19,Portfolio context without independent keyword validation,HIGH,MASTERBATCH_OR_PLASTICS_OWNER_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-MB-004,APP-MB,TiO2 for PVC Masterbatch,PVC masterbatch portfolio context,R20,Portfolio context without independent keyword validation,HIGH,MASTERBATCH_OR_PLASTICS_OWNER_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-COAT-010,APP-COAT,TiO2 for Coil Coatings,coil-coating portfolio context,R21,PRD research lead requiring current application-evidence validation,HIGH,SUB_APPLICATION_ARTICLE_CANDIDATE,QUEUED_FOR_TOPIC_RESEARCH
APPART-COAT-011,APP-COAT,TiO2 for Primer Coatings,primer-paint application context,R22,Application evidence lead without independent keyword validation,MEDIUM,SUB_APPLICATION_ARTICLE_CANDIDATE,QUEUED_FOR_TOPIC_RESEARCH
APPART-INK-005,APP-INK,TiO2 for Screen Printing Inks,screen-ink research lead,R23,Existing direction branch omitted for insufficient evidence,HIGH,SUB_APPLICATION_ARTICLE_CANDIDATE,QUEUED_FOR_TOPIC_RESEARCH
APPART-INK-006,APP-INK,TiO2 for Offset Printing Inks,offset-ink research lead,R24,Existing direction branch omitted for insufficient evidence,HIGH,SUB_APPLICATION_ARTICLE_CANDIDATE,QUEUED_FOR_TOPIC_RESEARCH
APPART-INK-007,APP-INK,TiO2 for Inkjet Inks,inkjet research lead,R25,Existing direction branch omitted for insufficient evidence,HIGH,SUB_APPLICATION_ARTICLE_CANDIDATE,QUEUED_FOR_TOPIC_RESEARCH
APPART-PAPER-004,APP-PAPER,TiO2 for Specialty Paper,specialty-paper discovery lead,R26,Discovery only without current keyword or product-level mapping,HIGH,MERGE_HOLD_OR_REJECT_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-PAPER-005,APP-PAPER,TiO2 for Packaging Paper and Board,packaging paper and board discovery lead,R26,Discovery only without current keyword or product-level mapping,HIGH,MERGE_HOLD_OR_REJECT_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-PLAS-010,APP-PLAS,TiO2 for Outdoor PVC Profiles Sheets and Products,outdoor PVC product portfolio context,R01,Portfolio context subordinate to PVC/uPVC theme,HIGH,MERGED_INTO_APPART-PLAS-001_USER_APPROVED,MERGE_DECISION_CLOSED
APPART-MB-005,APP-MB,TiO2 for Engineering-Plastics Masterbatch,engineering-plastics masterbatch discovery lead,R09,Discovery lead overlapping APP-PLAS,HIGH,MASTERBATCH_OR_PLASTICS_OWNER_TO_BE_RESEARCHED,QUEUED_FOR_TOPIC_RESEARCH
APPART-SPEC-001,UNREGISTERED_SPECIALTY,TiO2 for Electronic Ceramics,electronic ceramics specialty context,R27,One neutral Specialty Materials relation plus grade-page context,HIGH,NEW_APPLICATION_OR_GRADE_SUPPORT_TO_BE_RESEARCHED,DISCOVERY_ONLY_GATE0_REQUIRED
APPART-SPEC-002,UNREGISTERED_SPECIALTY,TiO2 for Optical Glass and Optical Materials,optical specialty context,R27,One neutral Specialty Materials relation plus grade-page context,HIGH,NEW_APPLICATION_OR_GRADE_SUPPORT_TO_BE_RESEARCHED,DISCOVERY_ONLY_GATE0_REQUIRED
APPART-SPEC-003,UNREGISTERED_SPECIALTY,TiO2 for Battery Materials,battery-material specialty context,R27,One neutral Specialty Materials relation plus grade-page context,HIGH,NEW_APPLICATION_OR_GRADE_SUPPORT_TO_BE_RESEARCHED,DISCOVERY_ONLY_GATE0_REQUIRED
APPART-SPEC-004,UNREGISTERED_RUBBER,TiO2 for Rubber,rubber evidence lead,R28,Evidence-only lead explicitly excluded from current taxonomy,CRITICAL,NEW_TAXONOMY_DECISION_REQUIRED,GOVERNANCE_HOLD
