query,rank,title,domain,page_type,role,intent_observation,raw_batch
"titanium dioxide for PP plastic",9,"C-PLAST WHITE 003 TP",tokoplas.com,Masterbatch product page,Supplier,"PP white-masterbatch commercial intent",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for PP plastic",10,"Titanium Dioxide for Plastics & Masterbatch",tinoxchem.com,Application/supplier page,Supplier,"Generic plastics and masterbatch commercial intent",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for polyolefin plastics",1,"The role of titanium dioxide on the behaviour and fate of plastics in the aquatic environment",sciencedirect.com,Review/article record,Research,"Environmental polymer fate; not commercial comparison",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for polyolefin plastics",2,"The role of titanium dioxide on the behaviour and fate of plastics in the aquatic environment",pubmed.ncbi.nlm.nih.gov,Review record,Research,"Duplicate publisher/index record",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for polyolefin plastics",3,"Tipaque PF-728",nagase.com,Grade page,Distributor,"Polyolefin grade-selection intent; proprietary product claim",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for polyolefin plastics",4,"The role of titanium dioxide pigments in the degradation and stabilisation of polymers",sciencedirect.com,Review/article record,Research,"Polymer durability context",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for polyolefin plastics",5,"Titanium dioxide in chloride process (Rutile Type)",iskweb.co.jp,Manufacturer portfolio page,Manufacturer,"Grade/application matrix; product-led",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for polyolefin plastics",6,"Tipaque PF-691",nagase.com,Grade page,Distributor,"Polyolefin grade-selection intent; proprietary product claim",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for polyolefin plastics",7,"Ti-Pure Grade Selection for Plastics",s3.amazonaws.com,Manufacturer guide,Manufacturer,"Plastics grade-selection guide; generic/polyolefin portfolio",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for polyolefin plastics",8,"Ti-Pure TiO2 Solutions for Plastics",tipure.com,Manufacturer application page,Manufacturer,"Generic plastics application and commercial evaluation",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for polyolefin plastics",9,"BILLIONS BLR-886",lomonbillions.global,Grade page,Manufacturer,"Product-led application claim",SERP-GLOBAL-R04-PE-PP-20260908
"titanium dioxide for polyolefin plastics",10,"Find Titanium Dioxide suited for Plastic Compounds",specialchem.com,Product selector,Industry platform,"Generic plastics compound product selection",SERP-GLOBAL-R04-PE-PP-20260908

