claim_id,exact_claim_or_rule,claim_type,source_id,source_url_or_path,source_date,applicable_scope,evidence_status,public_behavior,user_decision_status,notes
PROC-SU-011,"M-108 is classified as Sulfate.",PRODUCT_RELATION,PROC-V03-MATRIX,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv,2026-08-30,PRODUCT-PROC-SU Grade list and GRADE-M108 link,VERIFIED_APPROVED_RELATIONSHIP,RENDER,USER_APPROVED_PRODUCT_V03,"Neutral classification only; no performance/application claim inferred"
PROC-SU-012,"M-52 is classified as Sulfate.",PRODUCT_RELATION,PROC-V03-MATRIX,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv,2026-08-30,PRODUCT-PROC-SU Grade list and GRADE-M52 link,VERIFIED_APPROVED_RELATIONSHIP,RENDER,USER_APPROVED_PRODUCT_V03,"Neutral classification only; no performance/application claim inferred"
PROC-SU-013,"M-2377 is classified as Sulfate.",PRODUCT_RELATION,"PROC-V03-MATRIX;PROC-V03-AUDIT","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv;pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md",2026-08-30,PRODUCT-PROC-SU Grade list and GRADE-M2377 link,VERIFIED_APPROVED_RELATIONSHIP,RENDER,USER_APPROVED_PRODUCT_V03,"Neutral Process classification only; current V0.3 supersedes the historical unresolved Hold"
PROC-SU-014,"CR-901 is classified as Vapor-phase oxidation and is not a Chloride or Sulfate aggregation Grade.",PRODUCT_RELATION,"PROC-V03-MATRIX;PROC-V03-AUDIT","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv;pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md",2026-08-30,Sulfate Grade aggregation,VERIFIED_APPROVED_RELATIONSHIP,DO_NOT_RENDER,USER_APPROVED_PRODUCT_V03,"Do not render CR-901 as Sulfate or force a binary process classification"
PROC-SU-015,"The eight Chloride Grades are not members of the Sulfate aggregation.",PRODUCT_RELATION,"PROC-V03-MATRIX;PROC-V03-AUDIT","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv;pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md",2026-08-30,Sulfate Grade aggregation,VERIFIED_APPROVED_RELATIONSHIP,DO_NOT_RENDER,USER_APPROVED_PRODUCT_V03,"Process classification boundary only; not a negative statement about the Grades"
PROC-SU-016,"M-996 and M-2196 direct comparison ranking superiority equivalence replacement and comparison-based selection rationale remain frozen.",PRODUCT_COMPARISON_BOUNDARY,PROC-V03-AUDIT,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md,2026-08-30,Visible copy SEO GEO Schema Grade ordering cards and links,VERIFIED_APPROVED_RESTRICTION,DO_NOT_RENDER,USER_APPROVED_PRODUCT_V03,"Both may appear as equal-status entries; individual facts require separate source consumption and must not form a comparison"
PROC-SU-017,"M-2377 has approved neutral Application mappings to Coatings Plastics Masterbatch Printing Inks and Paper; Specialty Materials has no approved positive mapping; Rubber remains evidence-only outside the six-group public taxonomy.",PRODUCT_RELATION_BOUNDARY,PROC-V03-AUDIT,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md,2026-08-30,M-2377 treatment on the Process page,VERIFIED_APPROVED_RELATIONSHIP_RULE,DO_NOT_RENDER,USER_APPROVED_PRODUCT_V03,"The Process page needs only the neutral Sulfate relation; do not expose Specialty/Rubber taxonomy or internal status wording"
PROC-SU-018,"A NO_PUBLIC_MAPPING Application row means no approved positive public relationship; it is not a statement that the Grade is unsuitable or not applicable.",PRODUCT_RELATION_BOUNDARY,PROC-V03-AUDIT,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md,2026-08-30,Any Grade/Application wording on this page,VERIFIED_APPROVED_RELATIONSHIP_RULE,DO_NOT_RENDER,USER_APPROVED_PRODUCT_V03,"Internal content rule only; never expose NO_PUBLIC_MAPPING or rewrite absence as negative technical advice"
PROC-SU-019,"Sulfate process is universally superior or inferior to Chloride in quality cost environmental impact whiteness opacity durability dispersion or suitability.",UNSUPPORTED_COMPARISON,"PROC-SU-RAW-SEARCH-EXPANDED;PROC-SU-KW-IMPLEMENTATION","pages/products/sulfate-process/01_research/evidence/PRODUCT-PROC-SU_RAW_WEB_SEARCH_EXPANDED_2026-09-06.md;research/keyword/11_page_keyword_master.csv",2026-09-06,Visible copy SEO GEO Schema social metadata and media,EXPLICIT_PROJECT_PROHIBITION,DO_NOT_RENDER,NONE,"Comparison intent belongs to RES-PROC; external promotional/historical claims cannot become a universal project statement"
PROC-SU-020,"This page does not propose a statement that IKHLAS owns or operates a sulfate-process plant or uses an external source's feedstock process configuration equipment capacity or environmental controls.",CONTENT_SCOPE_RULE,PROC-SU-RAW-FETCH-REPRESENTATIVE,pages/products/sulfate-process/01_research/evidence/PRODUCT-PROC-SU_RAW_WEB_FETCH_REPRESENTATIVE_2026-09-06.md,2026-09-06,Current Gate 1 page direction,NOT_PROPOSED_OUT_OF_SCOPE,DO_NOT_RENDER,NONE,"External sources support only general context and question discovery; no company-fact decision is requested"
PROC-SU-021,"Each listed Sulfate Grade has a specific performance application or technical value beyond its neutral process classification.",GRADE_TECHNICAL,PROC-V03-MATRIX,pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv,2026-08-30,Grade cards summaries ALT SEO GEO and Schema,GATE2_EXACT_GRADE_SOURCE_CONSUMPTION_REQUIRED,DO_NOT_RENDER,NONE,"The matrix proves only Process classification; Gate 2 must read each Grade's current approved source before adding details"
PROC-SU-022,"A Certificate of Origin is available upon request.",DOCUMENT_ORIGIN,EG-002,docs/architecture/EVIDENCE_GAP_USER_DECISION_REGISTER_V1.8.md,2026-09-06,PRODUCT-PROC-SU visible copy and equivalent machine-readable surfaces,NOT_PROPOSED_OUT_OF_SCOPE,DO_NOT_RENDER,NONE,"Not proposed because it is unnecessary for the current Process-category task; this is not an open item or a request for user confirmation"
PROC-SU-023,"Search Volume Keyword Difficulty CPC trend national Google rank and demand split between sulfate and sulphate are known.",SEARCH_METRIC,PROC-SU-KW-MASTER-20260829,research/keyword/01_keyword_master.csv,2026-08-29,Priority/ranking claims,UNAVAILABLE,DO_NOT_RENDER,NONE,"Missing values remain Unavailable; no zero or inferred demand value"

