"claim_id","exact_claim_or_relation","source","source_date_or_checked","scope","classification","verification_or_decision_state","gate1_use"
"CONTACT-CL011","technical@mytio2.com is currently published by the related first-party site.","https://www.mytio2.com/contact/; https://www.mytio2.com/","2026-09-07","Source observation only","CONTACT","CURRENT_FIRST_PARTY_CANDIDATE / CROSS_DOMAIN_NOT_APPROVED","SOURCE_OBSERVATION_ONLY"
"CONTACT-CL012","logistics@mytio2.com is currently published by the related first-party site.","https://www.mytio2.com/contact/; https://www.mytio2.com/","2026-09-07","Source observation only","CONTACT","CURRENT_FIRST_PARTY_CANDIDATE / CROSS_DOMAIN_NOT_APPROVED","SOURCE_OBSERVATION_ONLY"
"CONTACT-CL013","info@mytio2.com is currently published by the related first-party site.","https://www.mytio2.com/contact/; https://www.mytio2.com/","2026-09-07","Source observation only","CONTACT","CURRENT_FIRST_PARTY_CANDIDATE / CROSS_DOMAIN_NOT_APPROVED","SOURCE_OBSERVATION_ONLY"
"CONTACT-CL014","The TiO2 Malaysia Contact baseline intentionally uses no @mytio2.com role email.","pages/contact/00_governance/CONTACT-001_RELATED_DOMAIN_MAILBOX_USER_DECISION_2026-09-10.md","2026-09-10","CONTACT-001 visible content, metadata, GEO, Schema, actions and fallback channels","CONTACT","USER_APPROVED / CONTACT-D03 CLOSED","DO_NOT_RENDER_IN_CONTACT_SCOPE"
"CONTACT-CL015","The Contact baseline shows no public Phone or WhatsApp card, action, placeholder, empty slot or machine-readable value.","pages/contact/00_governance/CONTACT-001_PHONE_WHATSAPP_USER_DECISION_2026-09-10.md","2026-09-10","CONTACT-001 current baseline only","CONTACT","USER_APPROVED / CONTACT-D04 CLOSED / FUTURE_SCOPED_CHANGE_ALLOWED","DO_NOT_RENDER_IN_CURRENT_BASELINE"
"CONTACT-CL016","Quotation requests are owned by /request-a-quote/.","PAGE_REGISTRY_V0.2.md; PROJECT_CONTEXT.md","2026-09-07","Route ownership","ARCHITECTURE","VERIFIED_CURRENT_ARCHITECTURE","ROUTE_DO_NOT_DUPLICATE_FORM"
"CONTACT-CL017","Sample requests are owned by /request-sample/.","PAGE_REGISTRY_V0.2.md; PROJECT_CONTEXT.md","2026-09-07","Route ownership","ARCHITECTURE","VERIFIED_CURRENT_ARCHITECTURE","ROUTE_DO_NOT_DUPLICATE_FORM"
"CONTACT-CL018","Document requests are owned by /request-documents/.","PAGE_REGISTRY_V0.2.md; PROJECT_CONTEXT.md","2026-09-07","Route ownership","ARCHITECTURE","VERIFIED_CURRENT_ARCHITECTURE","ROUTE_DO_NOT_DUPLICATE_FORM"
"CONTACT-CL019","Contact uses About as the current primary-navigation item and displays no CURRENT status word.","docs/architecture/GLOBAL_HEADER_FOOTER_SPEC_V0.5.md","2026-08-31","Shared Desktop/Mobile navigation surfaces","GLOBAL_CHROME","PROJECT_CONTROL_REVIEW_PASS / CLOSED","REFERENCE_SHARED_COMPONENT"
"CONTACT-CL020","The Contact form links to /privacy-policy/ and does not link to a Terms page.","docs/architecture/LEGAL_PRIVACY_NO_TERMS_TITAN_PATTERN_DECISION_V1.0.md","2026-09-02","CONTACT-001 privacy utility","LEGAL_ARCHITECTURE","USER_APPROVED / ACTIVE_ARCHITECTURE_OVERRIDE","RENDER_IN_FUTURE_FORM"
"CONTACT-CL021","Search Volume, KD, CPC and trend for the two Contact phrases are unavailable.","CONTACT-001_SEARCH_INTENT_EVIDENCE_V0.1.md","2026-09-07","Keyword metrics","SEARCH_OBSERVATION","UNAVAILABLE_NOT_ZERO","DO_NOT_CLAIM_METRICS"
"CONTACT-CL022","A successful general-inquiry response may confirm receipt/transmission but may not promise reply time, quotation, sample or document approval.","Gate 1 Agent synthesis; Governance Details §10.9","2026-09-07","Future Contact form success state","PROCESS","GATE2_COPY_AND_GATE8_9_RUNTIME_DEPENDENCY","LOCK_SEMANTIC_BOUNDARY"
"CONTACT-CL023","CONTACT-001 uses index, follow while retaining NO_PRIMARY_KEYWORD and excluding commercial supplier/manufacturer/product/application/market/document keyword ownership.","pages/contact/00_governance/CONTACT-001_INDEXING_USER_DECISION_AND_GATE1_CLOSURE_2026-09-10.md; research/keyword/11_page_keyword_master.csv","2026-09-10","CONTACT-001 robots/indexing and SEO ownership","SEO","USER_APPROVED / CONTACT-D05 CLOSED","LOCK_INDEX_FOLLOW_AND_NO_PRIMARY_KEYWORD"
