claim_id,exact_statement,claim_type,source_path_or_url,source_date,checked_date,scope,evidence_nature,fact_status,user_decision_status,public_use,limits_or_next_action
"IN-C11","Historical Semrush India desktop sample of 11 keywords records original KD8 and price KD22; volume/CPC/trend are Unavailable.","HISTORICAL_METRICS","research/keyword/raw/semrush/2026-08-29/in/semrush_in_market_001/manifest.json;table_rows.json;visible_text.txt","2026-08-29","2026-09-06","Exact keywords/in/desktop/historical capture","VERIFIED_LOCAL_RAW_WITH_6_HASH_MATCHES","HISTORICAL_OBSERVATION","NOT_REQUIRED","INTERNAL_RESEARCH_ONLY","Not current 2026-09-06 metrics or ranking feasibility guarantee; no fabricated zero."
"IN-C12","DGTR's TiO2 case index lists a Final Findings entry dated 03/08/2026 alongside earlier remand-related entries.","OFFICIAL_INDEX_OBSERVATION","https://www.dgtr.gov.in/en/anti-dumping-cases/anti-dumping-investigation-concerning-imports-titanium-dioxide-originating-or;pages/markets/india/01_research/evidence/IN-P04.json L113–120","Entry date2026-08-03;siteupdate2026-09-02","2026-09-06","Official index entry only;not attachment merits","DIRECT_BODY_OBSERVATION","VERIFIED_INDEX_ONLY","NOT_A_PUBLIC_POLICY_DECISION","INTERNAL_RESEARCH_HANDOFF","No attachment full reading or CBIC implementation verified; old index FileNo not treated as current case number."
"IN-C13","A specific current India tariff, exemption or anti-dumping treatment applies to our shipment.","EXTERNAL_TRADE_PROPOSITION","docs/architecture/EVIDENCE_GAP_USER_DECISION_REGISTER_V1.5.md EG-004/005;RES-TRADE-IN ownership","2026-09-06","2026-09-06","Only if a later exact named treatment is proposed","NOT_ESTABLISHED_IN_THIS_GATE","EXTERNAL_CURRENT_SOURCE_REQUIRED","NOT_PROPOSED_FOR_CURRENT_COPY","DO_NOT_RENDER_AS_ESTABLISHED_FACT","Reason: would turn unknown current external outcome into certainty; do not infer from Malaysia origin or DGTR index."
"IN-C14","PRODUCT V0.3 is the sole approved neutral Grade/Application/Process source, not an India-specific recommendation list.","RELATION_AUTHORITY","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv;PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md","2026-08-30","2026-09-06","Approved visible/semantic neutral relations","APPROVED_TECHNICAL_BASELINE","USER_APPROVED","INHERITED","USE_APPROVED_NEUTRAL_MAPPING_ONLY","84x24/30verified/0conflict/54no-public;8/5/1 process;counts stay internal."
"IN-C15","M-2377 has approved Coatings/Plastics/Masterbatch/Printing Inks/Paper and Sulfate relations; no Specialty/Rubber taxonomy is added.","RELATION_BOUNDARY","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md §2/5","2026-08-30","2026-09-06","Technical relation,not country certification","APPROVED_TECHNICAL_BASELINE","USER_APPROVED","INHERITED","NEUTRAL_RELATIONS_ONLY","No India suitability promise; NO_PUBLIC_MAPPING does not mean unsuitable."
"IN-C16","M-996 and M-2196 individual facts do not authorize differentiation, superiority, ranking, equivalence or substitution between the grades.","COMPARISON_BOUNDARY","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md §3","2026-08-30","2026-09-06","All public visible/semantic relations","APPROVED_PROJECT_LIMIT","COMPARISON_HOLD","INHERITED","DO_NOT_RENDER_COMPARISON","Reason: explicit approved comparison restriction; not missing-evidence automatic ban."
"IN-C17","India page prepares procurement context; existing RFQ owner collects Product/Grade, Application, Quantity in MT and Destination Country with optional Port/City and requirements.","CTA_CONTRACT","pages/conversion/request-a-quote/06_handoff/CONV-RFQ_GATE7_MANIFEST_V1.2.md;CONV-RFQ_GATE7_CMS_API_COMPONENT_MAPPING_V1.0.md §3/7","Approved contract;checked2026-09-06","2026-09-06","RFQ ownership and direction only","APPROVED_OWNER_CONTRACT","INHERITED_FIELDS","CTA_DIRECTION_PENDING_IN-D01","NO_NEW_FORM_FIELDS","No desired-price/current-supplier field; prefill visible editable; exact query adapter later."
"IN-C18","Request Documents Country/Region is the contact/company location, not an India destination-based document applicability filter.","OWNER_BOUNDARY","docs/page-briefs/CONV-DOC_REQUEST_DOCUMENTS_BRIEF_V0.4.md §3","approved field contract;checked2026-09-06","2026-09-06","Documents request routing","APPROVED_OWNER_CONTRACT","INHERITED","NOT_REQUIRED","PRESERVE_OWNER_SCOPE","No auto India country filter from market page; exact prefill follows owner."
"IN-C19","India is a direct Markets destination; detailed India trade updates belong to RES-TRADE-IN.","OWNER_BOUNDARY","docs/architecture/PAGE_REGISTRY_V0.2.md;research/keyword/11_page_keyword_master.csv MARKET-000/MARKET-IN-001/RES-TRADE-IN","2026-09-02;current row","2026-09-06","Hierarchy/keyword/URL ownership","APPROVED_MAPPING","INHERITED","NOT_REQUIRED","OWNER_ROUTING_ONLY","No EU parent; no claim target route is live."
"IN-C20","India local warehouse, fixed stock, MOQ or delivery SLA are not proposed in the current page direction.","SCOPE_RECORD","India Brief §6;AGENTS.md §2.6","2026-09-06","2026-09-06","Current draft only","EDITORIAL_SCOPE_NOT_NEGATIVE_FACT","NOT_ASSERTED","ASK_IF_LATER_PROPOSED","NO_UNAPPROVED_ASSERTION","Does not assert the company lacks these abilities; show exact proposition to user if needed."
