"claim_id","statement","kind","source","source_date","retrieved_date","locator","scope","status","public_use","decision_or_next_action"
"ES-CL11","KRONOS Spain页列DKSH Spain联系人与Barcelona地址","SUPPLIER_SELF_DESCRIPTION","https://www.kronosww.com/country/spain/","UNSTATED","2026-09-06","ES-P05 L68–76","KRONOS only","OBSERVED_SOURCE_BOUND","RESEARCH_ONLY_NOT_OUR_CAPABILITY","区分当地联系人和产品原产地；不复制联系/代理关系"
"ES-CL12","Norkem ES页分别说明粉体/浆体和包装并给产品信息请求入口","SUPPLIER_SELF_DESCRIPTION","https://www.norkem.es/products/dioxido-de-titanio","UNSTATED","2026-09-06","ES-P06 L59–65","Norkem only","OBSERVED_SOURCE_BOUND","RESEARCH_ONLY_NOT_OUR_CAPABILITY","不继承其欧洲库存/交期或Belgium生产能力"
"ES-CL13","Sigma 718467为纳米粉电商/批量订单页面","COUNTEREXAMPLE","https://www.sigmaaldrich.com/ES/es/product/aldrich/718467","UNSTATED","2026-09-06","ES-P07 actual L0–445; relevant L61–147","Specific product only","OBSERVED_SOURCE_BOUND","INTERNAL_RESEARCH","不是本站产品类别/性能/价格依据"
"ES-CL14","C.Q. Massó涂料油墨页列chloride/sulfate TiO2与联系邮箱电话","SUPPLIER_SELF_DESCRIPTION","https://www.cqmasso.com/sectores/especialidades-quimicas/pinturas-y-tintas","UNSTATED","2026-09-06","ES-P08 L73–95; L135–152","Massó only","OBSERVED_SOURCE_BOUND","RESEARCH_ONLY_NOT_OUR_CAPABILITY","用于不同体系需求询问，非竞争比较"
"ES-CL15","建议Spain页侧重涂料体系和塑料/色母最终用途并主RFQ次Products","AGENT_INFERENCE_RECOMMENDATION","pages/markets/spain/01_research/MARKET-EU-ES_GATE1_RESEARCH_REPORT_V0.1.md","2026-09-06","2026-09-06","§3 / ES-D01","Spain page direction","PENDING_USER_DIRECTION_CONFIRMATION","DIRECTION_DRAFT","站点B2B目标+本页证据综合，不是SERP测出的职业占比"
"ES-CL16","PRODUCT V0.3为84关系行/30 verified/0 conflict/54 no-public；Process8/5/1","APPROVED_RELATION","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv | pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md","2026-08-30","2026-09-06","Unified audit §1","Shared technical relationship only","USER_APPROVED","NEUTRAL_POSITIVE_RELATIONS_ONLY","不推出Spain具体适用性/国家排序"
"ES-CL17","M-2377五类Application与Sulfate可中性映射；Specialty不公开；Rubber仅证据","APPROVED_RELATION_BOUNDARY","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md","2026-08-30","2026-09-06","§2/5","M-2377","USER_APPROVED","SPECIALTY_DO_NOT_RENDER_RUBBER_NO_TAXONOMY","原因是当前批准关系/分类边界，不是重新缺证冻结"
"ES-CL18","M-996/M-2196不能输出差异排名优劣等效或替代","APPROVED_COMPARISON_BOUNDARY","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md","2026-08-30","2026-09-06","§3","M-996/M-2196","APPROVED_RESTRICTION","DO_NOT_RENDER_COMPARISON","保留12/12 comparison hold"
"ES-CL19","Spain当前本地库存/仓库/客户/固定交期","UNPROPOSED_COMPANY_FACT","pages/markets/spain/01_research/MARKET-EU-ES_GATE1_RESEARCH_REPORT_V0.1.md","2026-09-06","2026-09-06","§3.2 Q06","Spain","NOT_PROPOSED_IN_THIS_BASELINE","NOT_SELECTED_NOT_A_REJECTION","无拟用营销句，不宣称企业没有；未来需用才提交具体用户事实问题"
"ES-CL20","Google Spain/Spain Semrush搜索量KD/CPC与全国需求排序","UNMEASURED_METRIC","pages/markets/spain/01_research/MARKET-EU-ES_SEARCH_INTENT_EVIDENCE_V0.1.md","2026-09-06","2026-09-06","§0/5","Current Spain research","NOT_COLLECTED","UNAVAILABLE_NOT_ZERO","未使用工具不冒充登录失败；不以Germany数据代理"
"ES-CL21","EMSA Lubei 2026分销公告正文核实","SOURCE_ACCESS_LIMITATION","https://emsaquimica.com/en/2026/07/08/lubei-group-new-supplier/","2026-07-08 per search result only","2026-09-06","ES-Q01 entry1; ES-P01 verification-only L0–4","Search snippet only","BODY_NOT_VERIFIED","RESEARCH_LEAD_ONLY","不把摘要说成正文；不使用其能力结论"
"ES-CL22","CONV-DOC的Country/Region不能控制文件适用性/版本或可用性","CURRENT_ROUTE_OWNERSHIP","research/keyword/11_page_keyword_master.csv","CURRENT_FILE_READ_2026-09-06","2026-09-06","CONV-DOC row","Document request","CURRENT_APPROVED_SCOPE_RULE","CONSUME_OWNER_CONTRACT","Spain不新增market文件筛选参数；G2确认精确预填"

