"relation_id","grade","application","process_candidate","current_status","recommended_after_user_decision","source_ids","source_paths","source_type","source_date","applicability_scope","conflict","public_behavior_before_approval"
"REL-M896-INK","M-896","Printing Inks","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M896","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-896/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M896-PAPER","M-896","Paper","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M896","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-896/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M896-SPEC","M-896","Specialty Materials","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M896","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-896/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M996-COAT","M-996","Coatings","Sulfate","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-PRD;SRC-SOP;SRC-WEB-M996","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-996/","approved architecture candidate;SOP candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral broad Coatings evaluation mapping only","M-996 versus M-2196 differentiation remains CONFLICT_HOLD","DO_NOT_RENDER"
"REL-M996-PLAS","M-996","Plastics","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M996","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-996/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","legacy negative wording is not approved as public claim","DO_NOT_RENDER"
"REL-M996-MB","M-996","Masterbatch","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M996","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-996/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M996-INK","M-996","Printing Inks","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M996","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-996/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M996-PAPER","M-996","Paper","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M996","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-996/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M996-SPEC","M-996","Specialty Materials","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M996","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-996/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M2196-COAT","M-2196","Coatings","Sulfate","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-PRD;SRC-SOP;SRC-WEB-M2196","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-2196/","approved architecture candidate;SOP candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral broad Coatings evaluation mapping only","M-996 versus M-2196 differentiation remains CONFLICT_HOLD","DO_NOT_RENDER"
"REL-M2196-PLAS","M-2196","Plastics","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M2196","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-2196/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","legacy negative wording is not approved as public claim","DO_NOT_RENDER"
"REL-M2196-MB","M-2196","Masterbatch","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M2196","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-2196/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M2196-INK","M-2196","Printing Inks","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M2196","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-2196/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M2196-PAPER","M-2196","Paper","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M2196","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-2196/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M2196-SPEC","M-2196","Specialty Materials","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M2196","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-2196/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M895-COAT","M-895","Coatings","Chloride","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-PRD;SRC-SOP;SRC-WEB-M895","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-895/","approved architecture candidate;SOP candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral broad Coatings evaluation mapping only","none","DO_NOT_RENDER"
"REL-M895-PLAS","M-895","Plastics","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M895","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-895/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M895-MB","M-895","Masterbatch","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M895","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-895/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M895-INK","M-895","Printing Inks","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M895","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-895/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M895-PAPER","M-895","Paper","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M895","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-895/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M895-SPEC","M-895","Specialty Materials","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M895","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-895/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M200-COAT","M-200","Coatings","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M200","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-200/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M200-PLAS","M-200","Plastics","Chloride","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-PRD;SRC-SOP;SRC-WEB-M200","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-200/","approved architecture candidate;SOP candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral broad Plastics evaluation mapping only","none","DO_NOT_RENDER"
"REL-M200-MB","M-200","Masterbatch","Chloride","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-WEB-M200","https://www.mytio2.com/products/m-200/","legacy first-party product page;fact candidate only","observed 2026-08-30;page publication date unavailable","neutral Masterbatch evaluation mapping only","not in Product SOP primary matrix","DO_NOT_RENDER"
"REL-M200-INK","M-200","Printing Inks","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M200","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-200/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M200-PAPER","M-200","Paper","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M200","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-200/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M200-SPEC","M-200","Specialty Materials","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M200","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-200/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M108-COAT","M-108","Coatings","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M108","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-108/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","legacy negative wording is not approved as public claim","DO_NOT_RENDER"
"REL-M108-PLAS","M-108","Plastics","Sulfate","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-SOP;SRC-WEB-M108","docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-108/","SOP secondary candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral broad Plastics evaluation mapping only","none","DO_NOT_RENDER"
"REL-M108-MB","M-108","Masterbatch","Sulfate","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-PRD;SRC-SOP;SRC-WEB-M108","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-108/","approved architecture candidate;SOP candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral broad Masterbatch evaluation mapping only","none","DO_NOT_RENDER"
"REL-M108-INK","M-108","Printing Inks","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M108","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-108/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M108-PAPER","M-108","Paper","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M108","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-108/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M108-SPEC","M-108","Specialty Materials","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M108","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-108/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M210-COAT","M-210","Coatings","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M210","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-210/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","coatings require separate formulation evaluation;not a positive mapping","DO_NOT_RENDER"
"REL-M210-PLAS","M-210","Plastics","Chloride","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-SOP;SRC-WEB-M210","docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-210/","SOP secondary candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral broad Plastics evaluation mapping only","none","DO_NOT_RENDER"
"REL-M210-MB","M-210","Masterbatch","Chloride","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-PRD;SRC-SOP;SRC-WEB-M210","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-210/","approved architecture candidate;SOP candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral broad Masterbatch evaluation mapping only","none","DO_NOT_RENDER"
"REL-M210-INK","M-210","Printing Inks","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M210","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-210/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M210-PAPER","M-210","Paper","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M210","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-210/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M210-SPEC","M-210","Specialty Materials","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M210","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-210/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M340-COAT","M-340","Coatings","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M340","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-340/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","legacy negative wording is not approved as public claim","DO_NOT_RENDER"
"REL-M340-PLAS","M-340","Plastics","Chloride","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-SOP;SRC-WEB-M340","docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-340/","SOP secondary candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral broad Plastics evaluation mapping only","none","DO_NOT_RENDER"
"REL-M340-MB","M-340","Masterbatch","Chloride","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-PRD;SRC-SOP;SRC-WEB-M340","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-340/","approved architecture candidate;SOP candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral broad Masterbatch evaluation mapping only","none","DO_NOT_RENDER"
"REL-M340-INK","M-340","Printing Inks","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M340","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-340/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M340-PAPER","M-340","Paper","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M340","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-340/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
