claim_id,exact_statement,claim_type,source_path_or_url,source_date,checked_date,scope,evidence_nature,fact_status,user_decision_status,public_use,limits_or_next_action
"BRPT-C11","The application expansion dióxido de titânio para tintas supports neutral Product/Application navigation but not a Brazil-specific grade recommendation or keyword reassignment.","ANALYTICAL_INFERENCE","pages/markets/brazil/01_research/evidence/MARKET-BR-PT_G1_RAW_PAINTS_EXPANSION_2026-09-06.json;method section 2.5","2026-09-06","2026-09-06","Expanded-query inference","INFERENCE_FROM_BIASED_QUERY","SUPPORTED_WITH_LIMITS","BR-PT-D01_USER_APPROVED_2026-09-06","USE_APPROVED_DIRECTION","Generic application ownership stays with Application pages."
"BRPT-C12","The 2026-08-29 Semrush Brazil desktop capture displayed volume 0/KD 0/CPC USD 0.00 for the exact primary term and volume 20/KD 3/CPC USD 0.34 for dióxido de titânio para tintas.","HISTORICAL_METRICS","research/keyword/raw/semrush/2026-08-29/br/semrush_br_market_001/manifest.json;table_rows.json","2026-08-29","2026-09-06","Exact historical third-party observations","VERIFIED_LOCAL_RAW","HISTORICAL_OBSERVATION","NOT_REQUIRED","INTERNAL_RESEARCH_ONLY","Zero for one exact term is not no-demand proof; current metrics were not refreshed; Unavailable is not zero."
"BRPT-C13","The historical Google/SERP raw for fornecedor dioxido titanio brasil is dated 2026-08-29 and cannot be relabelled as a current ranking for the accented primary query.","HISTORICAL_SERP","research/keyword/raw/serp/2026-08-29/BRAZIL/PT-BR/fornecedor_dioxido_titanio_brasil/manifest.json;raw_search.txt","2026-08-29","2026-09-06","Historical PT-BR SERP context","VERIFIED_LOCAL_RAW","HISTORICAL_OBSERVATION","NOT_REQUIRED","INTERNAL_RESEARCH_ONLY","No current rank or national prevalence claim."
"BRPT-C14","The current official MDIC material identifies a definitive measure concerning certain China-origin rutile titanium dioxide pigments commonly classified under NCM 3206.11.10.","CURRENT_OFFICIAL_OBSERVATION","pages/markets/brazil/01_research/evidence/MARKET-BR-EN_G1_RAW_CURRENT_MDIC_2026-09-06.json","official page checked 2026-09-06","2026-09-06","Dated Brazil trade context","DIRECT_OFFICIAL_PAGE_OBSERVATION","VERIFIED_WITH_SCOPE_LIMITS","NOT_A_MALAYSIA_TREATMENT_DECISION","SHORT_DATED_HANDOFF_ONLY","Detailed scope, rates, current applicability and legal interpretation belong RES-TRADE-BR."
"BRPT-C15","The MDIC public-interest page updated 26/08/2026 records an evaluation started 27/03/2026 and a displayed final-manifestation deadline of 04/09/2026.","CURRENT_OFFICIAL_OBSERVATION","pages/markets/brazil/01_research/evidence/MARKET-BR-EN_G1_RAW_MDIC_PUBLIC_INTEREST_FOLLOWUP_2026-09-06.json","page updated 2026-08-26;checked 2026-09-06","2026-09-06","Dated official proceeding observation","DIRECT_OFFICIAL_PAGE_OBSERVATION","VERIFIED_DEADLINE_ONLY","POST_DEADLINE_OUTCOME_UNKNOWN","SHORT_DATED_HANDOFF_ONLY","Do not call the evaluation ongoing or infer its outcome without newer official publication."
"BRPT-C16","Detailed and freshness-managed Brazil trade information belongs RES-TRADE-BR; MARKET-BR-PT may later provide only a short dated handoff.","OWNER_BOUNDARY","docs/architecture/PAGE_REGISTRY_V0.2.md;research/keyword/11_page_keyword_master.csv;Brief sections 6 and 8","current approved rows;checked 2026-09-06","2026-09-06","Intent and freshness ownership","APPROVED_MAPPING_PLUS_AGENT_DIRECTION","OWNER_CONFIRMED","BR-PT-D01_USER_APPROVED_2026-09-06","USE_APPROVED_DIRECTION","No rate table, avoidance selling or post-deadline status guess on the Market page."
"BRPT-C17","PRODUCT V0.3 remains the sole approved neutral Grade/Application/Process relationship source and does not create a Brazil-specific recommendation.","RELATION_AUTHORITY","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_MATRIX_V0.3.csv;PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md","2026-08-30","2026-09-06","Neutral product relationships","APPROVED_TECHNICAL_BASELINE","USER_APPROVED","INHERITED","USE_NEUTRAL_MAPPING_ONLY","84x24;30 verified/0 conflict/54 no-public;8/5/1 Process; counts stay internal."
"BRPT-C18","M-2377 may map neutrally to Coatings, Plastics, Masterbatch, Printing Inks, Paper and Sulfate; Specialty Materials remains non-public and Rubber evidence-only.","RELATION_BOUNDARY","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md","2026-08-30","2026-09-06","Technical relation, not Brazil suitability","APPROVED_TECHNICAL_BASELINE","USER_APPROVED","INHERITED","NEUTRAL_RELATIONS_ONLY","No Specialty/Rubber public taxonomy or Brazil recommendation."
"BRPT-C19","M-996 and M-2196 individual facts do not authorize differentiation, superiority, ranking, equivalence, substitution or comparative selection reasons.","COMPARISON_BOUNDARY","pages/products/01_research/PRODUCT_GRADE_APPLICATION_PROCESS_UNIFIED_AUDIT_V0.3.md","2026-08-30","2026-09-06","All visible and machine-readable surfaces","APPROVED_PROJECT_LIMIT","COMPARISON_HOLD","INHERITED","DO_NOT_RENDER_COMPARISON","Explicit approved restriction; not an automatic missing-evidence hold."
"BRPT-C20","Brazil office, warehouse, inventory, local representative, customer base, fixed pricing, MOQ, lead time and delivery commitments are not proposed in the current Page Intent Card.","SCOPE_RECORD","Brief sections 2 and 4;AGENTS.md section 2.6","2026-09-06","2026-09-06","Current Gate 1 editorial scope","EDITORIAL_SCOPE_NOT_NEGATIVE_FACT","NOT_ASSERTED","ASK_IF_LATER_PROPOSED","NO_UNAPPROVED_ASSERTION","Does not assert the company lacks these capabilities; present exact statements to the user if later desired."
"BRPT-C21","The proposed Title direction is Fornecedor de dióxido de titânio para o Brasil | TiO2 Malaysia and the proposed H1 direction is Dióxido de titânio originário da Malásia para compradores no Brasil.","SEO_DIRECTION","Brief section 3;Gate1 research section 5","2026-09-06","2026-09-06","Gate 1 direction only","AGENT_SYNTHESIS","USER_APPROVED_DIRECTION","BR-PT-D01_USER_APPROVED_2026-09-06","USE_APPROVED_DIRECTION","Gate 2 writes final Title/H1; no keyword stuffing or mechanical English translation."
"BRPT-C22","MARKET-BR-PT is proposed as the PT-BR counterpart at /pt-br/markets/brazil/; permanent canonical and reciprocal en/pt-BR hreflang require later approved/live implementation.","LANGUAGE_ARCHITECTURE","docs/architecture/PAGE_REGISTRY_V0.2.md;research/keyword/11_page_keyword_master.csv;Brief section 9","current registered rows;checked 2026-09-06","2026-09-06","PT-BR path and alternate-language direction","PROJECT_MAPPING_PLUS_USER_DECISION","USER_APPROVED_PLANNING_PATH","BR-PT-D03_USER_APPROVED_2026-09-06","PLANNING_PATH_ONLY","User approval would approve planning direction only, not make route/canonical/hreflang live."


